Activity,Matching
majors in physics,Analysis
majors in physics,Supervision
academic guy,Documentation
academic guy,Supervision
professional,Supervision
professional,Training
higher than us in the field of plastic,Supervision
higher than us in the field of plastic,Training
tries his best to compensate for his shortcomings,Supervision
tries his best to compensate for his shortcomings,Training
willing to devote lots of time to our team,Supervision
willing to devote lots of time to our team,Training
"baby-sitter, teenager-sitter, youth-sitter and elder-sitter",Supervision
"baby-sitter, teenager-sitter, youth-sitter and elder-sitter",Training
sunny boy with a handsome face,Supervision
sunny boy with a handsome face,Training
outgoing with extensive background and expert experiment skills,Supervision
outgoing with extensive background and expert experiment skills,Training
freshman with great passion,Supervision
freshman with great passion,Training
warm-hearted and good at networking,Supervision
warm-hearted and good at networking,Training
smiles and works efficiently,Supervision
smiles and works efficiently,Training
nice boy with an air of enthusiasm,Creative Contributions
unites beauty and intelligence,Creative Contributions
boy who loves laughing and getting on well with others,Creative Contributions
"thermococcus kodakarensis protocols, supplies, and guidance",Material Supply
use of their lab and assistance with some protocols,Material Supply
assistance with the liquid liquid extraction protocol,Experiments
running the gas chromatagraph for the team,Experiments
teaching a biological research methods seminar,Training
assistance with hotel booking,Administration
assistance with booking flights,Administration
funding support,Fundraising
recruiting new members,Collaboration
teaching a two day lab methods seminar,Training
starting laboratory work in may,Administration
participate in the interlab measurement study,Interlab
improve the characterization of an existing biobrick part or device,Parts
enter this information on that part's main page in the registry,Documentation
document at least one new substantial contribution to the igem community that showcases a project related to biobricks,Creative Contributions
contribution,Creative Contributions
bronze medal criterion #4 standard tracks,Documentation
document at least one new substantial contribution to the igem community,Creative Contributions
showcase a project related to biobricks,Creative Contributions
president,Administration
wet lab team lead,Experiments
wet lab team lead,Supervision
human practices team lead,Human Practices
fundraising team lead,Fundraising
dry lab team lead,Analysis
dry lab team lead,Supervision
web design team lead,Software
communications team lead,Public Engagement
wet lab,Experiments
wet lab,Human Practices
interlab team lead,Interlab
dry lab mentor,Analysis
dry lab mentor,Supervision
wet lab mentor,Supervision
wet lab mentor,Experiments
wet lab/cloning mentor,Supervision
wet lab/cloning mentor,Experiments
wet lab/human practices mentor,Supervision
wet lab/human practices mentor,Human Practices
dry lab/web design mentor,Supervision
dry lab/web design mentor,Software
primary pi,Supervision
primary pi,Administration
secondary pi,Supervision
secondary pi,Administration
faculty advisor,Supervision
faculty advisor,Administration
helped form and direct the project,Design
helped form and direct the project,Administration
provided lab and reagents,Material Supply
taught how to create a cosmid library,Training
taught how to create a cosmid library,Experiments
provided metagenomic library mentorship,Training
gave access to pulse-field gel electrophoresis equipment,Material Supply
"provided mentorship on primer design, cloning, and assay development",Training
provided mentorship in assay development,Training
provided general cloning tips and laboratory supervision,Training
provided substrates and guidance for the enzymatic fluorophore assay,Training
provided metagenomic sequencing,Experiments
wrote the pipeline for pulling out novel cellulose-degrading enzymes,Software
provided mentorship to the human practices team,Human Practices
facilitated dna extraction workshop,Training
included us in their programming,Public Engagement
gave access to biochemistry teaching labs,Material Supply
provided opportunity to lead a workshop in the innovation lab,Training
provided space at dalhousie open house,Public Engagement
agreed to an interview,Public Engagement
invited us to their factory and provided a tour,Collaboration
agreed to an interview on science communication,Public Engagement
helped create a successful crowdfunding campaign,Fundraising
helped bring fundraising to new heights,Fundraising
mentored in fundraising,Fundraising
hosted workshops on web design,Training
mentored on web design,Supervision
made and coded the website,Documentation
helped with uploading content to the wiki,Documentation
designed the logos,Creative Contributions
read over applications and chose a strong team,Administration
provided mentorship on writing good lay summaries,Supervision
sponsored our project under indian biological engineering competition (ibec),Fundraising
provided initial fund for registration in igem,Fundraising
provided labs and research facility,Material Supply
provided facility for dna synthesis,Material Supply
provided ideas and concepts for project working,Design
mediated with school authorities for outreach initiatives,Human Practices
managed team to gather funds from various agencies,Fundraising
nurtured the team and assisted in lab activities,Supervision
helped in designing experiments and conducting surveys,Design
assisted in outreach initiatives,Public Engagement
managed team work and igem deadlines,Administration
assisted with wiki page and public relations,Documentation
contributed in lab experiments,Experiments
conducted interactive talk sessions and designed logo,Public Engagement
organized college events and managed social networking sites,Public Engagement
contributed in lab work and experiments,Experiments
conducted interactive talk sessions and wrote content for wiki page,Public Engagement
attended regional meet up and conducted literature survey,Human Practices
designed logo and conducted interactive sessions at schools,Public Engagement
participated in industrial visits and village awareness campaigns,Human Practices
prepared games for college event,Creative Contributions
contributed in wiki page theme and created surveys,Documentation
participated in industrial visit and conducted talk sessions at schools,Public Engagement
contributed in experiment designing and lab work,Design
contributed in experiment designing and lab work,Experiments
conducted bioinformatics study and literature survey,Analysis
designed t-shirts and prepared games for college event,Creative Contributions
contributed in cloning experiments and protein profiling,Experiments
conducted literature survey and statistical analysis,Analysis
worked on product formation and data analysis for igem interlab study,Experiments
worked on product formation and data analysis for igem interlab study,Analysis
contributed in wiki theme and wiki page designing,Documentation
captured group pictures at various events and lab works,Creative Contributions
provided facility of gfp plate,Material Supply
improve the characterization of an existing biobrick part,Parts
document at least one new substantial contribution to the igem community,Collaboration
"gave feedback on all parts of project, in particular lab work, experimental design, and modelling",Supervision
"helped facilitate discussions within the team, particularly regarding human practices and gave our team more information to improve experimental design and strategy",Supervision
lab supervisor who was always there to train us to use lab equipment and help troubleshoot when things went wrong,Supervision
gave feedback on human practices and our ideas of presenting the project,Supervision
"always willing to lend the team a helping hand, double-checking primers are correct and giving ideas to troubleshoot things that went wrong in the lab",Supervision
"helped the team by allowing her lab to share various materials and plasmids that would be incorporated into the project, including serine integrases",Material Supply
assisted the team by meeting with members involved in modelling and allowing whole lab to give feedback to current modelling project,Supervision
gave team access to materials to build the fluidic device and training on how to use them,Material Supply
allowed members of his lab to share plasmids containing recombinase parts that would form the backbone of our toolkit,Material Supply
helped the team in several meetings where she gave feedback on our approach to human practices and how likely our team was to achieve the various medal criteria,Human Practices
helped the team in several meetings where she gave feedback on our approach to human practices and how likely our team was to achieve the various medal criteria,Supervision
personally assisted the team in obtaining tyrosine recombinases and also gave feedback regarding design of our constructs that were targeted by recombinases,Parts
personally assisted the team in obtaining tyrosine recombinases and also gave feedback regarding design of our constructs that were targeted by recombinases,Supervision
helped starting from day one with design and implementation of the microfluidic device,Design
gave advice to the team about the best strategy for chromosomal integration and helped the team by providing plasmids that would allow for chromosomal integration,Design
gave advice to the team about the best strategy for chromosomal integration and helped the team by providing plasmids that would allow for chromosomal integration,Parts
supported the modelling efforts of the team by constructively criticising the then-current model developed by the team and giving advice on how to incorporate the modelling fully into the project in a way that would be exciting to researchers,Modelling
supported the modelling efforts of the team by constructively criticising the then-current model developed by the team and giving advice on how to incorporate the modelling fully into the project in a way that would be exciting to researchers,Supervision
"assisted the team during a very productive meeting regarding human practices, where we got a lot of feedback on how our plan for human practices could integrate into the project",Human Practices
"assisted the team during a very productive meeting regarding human practices, where we got a lot of feedback on how our plan for human practices could integrate into the project",Supervision
"helped the team during september to october, taught the team on using the equipments in the french lab, and helped troubleshooting and provided feedback for the wet lab",Training
"helped the team during september to october, taught the team on using the equipments in the french lab, and helped troubleshooting and provided feedback for the wet lab",Experiments
"worked extensively in the wet and dry lab. she was responsible for designing most of our primers, oligos, and assembly methods. furthermore, she conceived of various experimental plans and techniques that the team implemented. also contributed significantly to work in wet lab, particularly the verification of recombinase target sites and recombinases",Design
"worked extensively in the wet and dry lab. she was responsible for designing most of our primers, oligos, and assembly methods. furthermore, she conceived of various experimental plans and techniques that the team implemented. also contributed significantly to work in wet lab, particularly the verification of recombinase target sites and recombinases",Experiments
"in the dry lab teri helped with modelling, design of the overall project and experimental procedures, and also contributed by designing some ordered dna. furthermore, teri helped the team work and troubleshoot in the wet lab",Modelling
"in the dry lab teri helped with modelling, design of the overall project and experimental procedures, and also contributed by designing some ordered dna. furthermore, teri helped the team work and troubleshoot in the wet lab",Design
"was one of our wet lab experts. he made sure everything stayed organised within the lab, both the materials required and the work schedule of each team member. of course, he further contributed by performing hundreds of experiments himself",Experiments
"was one of our wet lab experts. he made sure everything stayed organised within the lab, both the materials required and the work schedule of each team member. of course, he further contributed by performing hundreds of experiments himself",Administration
"in the dry lab jack helped the team work on human practices. he also helped brainstorm ideas for the project and catalogued parts. jack also contributed to wet lab work, often focusing on the randomiser construct",Analysis
"in the dry lab jack helped the team work on human practices. he also helped brainstorm ideas for the project and catalogued parts. jack also contributed to wet lab work, often focusing on the randomiser construct",Design
"in the dry lab jack helped the team work on human practices. he also helped brainstorm ideas for the project and catalogued parts. jack also contributed to wet lab work, often focusing on the randomiser construct",Experiments
"in the dry lab jack helped the team work on human practices. he also helped brainstorm ideas for the project and catalogued parts. jack also contributed to wet lab work, often focusing on the randomiser construct",Documentation
"worked in both the wet lab for biology and the clean room where she and joe built the microfluidic device. she also helped design this device. outside of the labs, she contributed to the teams research for human practices",Experiments
"worked in both the wet lab for biology and the clean room where she and joe built the microfluidic device. she also helped design this device. outside of the labs, she contributed to the teams research for human practices",Design
"worked in both the wet lab for biology and the clean room where she and joe built the microfluidic device. she also helped design this device. outside of the labs, she contributed to the teams research for human practices",Human Practices
"was the team’s human practices expert, shouldering most of data collection responsibility as well as analysing all of the data and drawing conclusions. she also helped the team in the biology wet lab, helping clone our constructs and transform and screen our cells",Experiments
"was the team’s human practices expert, shouldering most of data collection responsibility as well as analysing all of the data and drawing conclusions. she also helped the team in the biology wet lab, helping clone our constructs and transform and screen our cells",Documentation
"was the team’s human practices expert, shouldering most of data collection responsibility as well as analysing all of the data and drawing conclusions. she also helped the team in the biology wet lab, helping clone our constructs and transform and screen our cells",Human Practices
"worked extensively in the wet lab. he was involved with effectively all biological experiments, from creating the recombinase target sites to purifying protein to aid with modelling. furthermore, he helped raise funding for the team and contributed to our public outreach",Experiments
"worked extensively in the wet lab. he was involved with effectively all biological experiments, from creating the recombinase target sites to purifying protein to aid with modelling. furthermore, he helped raise funding for the team and contributed to our public outreach",Fundraising
"worked extensively in the wet lab. he was involved with effectively all biological experiments, from creating the recombinase target sites to purifying protein to aid with modelling. furthermore, he helped raise funding for the team and contributed to our public outreach",Public Engagement
"was involved in nearly every aspect of the project to some capacity. he helped design and build the microfluidic device and also helped design our scoring system and analyses of for human practices. furthermore, he helped design the wiki and all material released on behalf of the team",Design
"was involved in nearly every aspect of the project to some capacity. he helped design and build the microfluidic device and also helped design our scoring system and analyses of for human practices. furthermore, he helped design the wiki and all material released on behalf of the team",Documentation
"was involved in nearly every aspect of the project to some capacity. he helped design and build the microfluidic device and also helped design our scoring system and analyses of for human practices. furthermore, he helped design the wiki and all material released on behalf of the team",Creative Contributions
"was involved in nearly every aspect of the project to some capacity. he helped design and build the microfluidic device and also helped design our scoring system and analyses of for human practices. furthermore, he helped design the wiki and all material released on behalf of the team",Public Engagement
"was crucial to the success of the modelling of the project, developing the software that helped the model be visualised and applied to other research contexts. she also, of course, helped develop the model itself. beyond this, cynthia helped develop certain aspects of the wiki",Modelling
"was crucial to the success of the modelling of the project, developing the software that helped the model be visualised and applied to other research contexts. she also, of course, helped develop the model itself. beyond this, cynthia helped develop certain aspects of the wiki",Software
"was crucial to the success of the modelling of the project, developing the software that helped the model be visualised and applied to other research contexts. she also, of course, helped develop the model itself. beyond this, cynthia helped develop certain aspects of the wiki",Documentation
helped the team develop the oligo designer software to make it easier for other scientists to design constructs containing recombinase target sites. he was also instrumental in creating the wiki,Software
helped the team develop the oligo designer software to make it easier for other scientists to design constructs containing recombinase target sites. he was also instrumental in creating the wiki,Documentation
responsible for all cloning,Parts
aims to become a researcher in biomolecules,Training
involved in modeling,Modelling
contributed to the measurement of results,Analysis
focused on human practices and safety,Human Practices
participated in public engagement activities,Public Engagement
worked on the integrated and gold parts of the project,Parts
collaborated with other teams,Collaboration
contributed to the design of the project,Design
participated in the demonstration of results,Public Engagement
worked on the accessibility aspect of the project,Human Practices
document their experimental design,Documentation
explain why they chose that part to improve,Design
interested in genetic engineering and synthetic biology,Design
interested in biology,Design
interested in biology and dna,Design
interested in genetic engineering,Design
responsible for human practice and wiki,Documentation
leader of gzhs-united,Administration
likes music and playing badminton,Creative Contributions
likes reading and playing badminton,Creative Contributions
"introverted, good at piano, badminton, and bird-watching",Creative Contributions
likes reading and wants to be a pediatric surgeon,Creative Contributions
interested in synthesis biology and good at making gel and pcr control,Experiments
realized the importance of biology and wants to impress everyone in igem,Human Practices
loves biology and painting and playing bridge,Creative Contributions
"good at mathematics, physics, history, and swimming",Modelling
"advisor, interested in exploring the world and nature",Supervision
"designer, major in biotechnology, likes basketball, drawing, and learning",Design
responsible for mathematical modeling and wiki design,Modelling
"introverted, enjoys doing experiments and watching japanese animation",Experiments
responsible for translation and human practice work,Human Practices
"member of wet-lab team, enjoys doing lab work",Experiments
"majored in biology, believes in the potential of high school students in igem",Human Practices
"advisor, in charge of improving professional words and oral english",Training
"advisor, worked in education career for many years",Training
"advisor, gave expert advice in art design",Creative Contributions
"president of guangdong experimental high school, supported the team",Collaboration
"laboratory chief, provided training on lab safety and regulation",Training
"experienced biology teacher, guided students to win prizes in competitions",Training
"laboratory chief, helped with apparatus and preparations",Material Supply
"pi, guided the team throughout the project",Supervision
"postdoctor, specialized in infectious disease and pathogen biology",Experiments
participated in interlab measurement study,Interlab
sumitted a new part k2415000,Parts
improved the function of part bba_k2074101,Parts
sumitted a new part bba_k2415005,Parts
experiment data record and picture collection,Experiments
conclusion for improvement and suggestions of the experiment,Analysis
involved in the lab experiments,Experiments
wiki attribution part,Documentation
member of human practice projects,Human Practices
main designer of the group poster,Creative Contributions
designer of presentation powerpoint,Creative Contributions
in charge of the bacteria part of the experiment,Experiments
designer of human practice’s content,Creative Contributions
experimental data collection,Experiments
translator of the daily reporter,Documentation
responsible for human practices and public engagement activities,Human Practices
participated in lab work,Experiments
wiki design,Documentation
brought cats to the meeting room,Creative Contributions
came up with the idea of killing mosquitoes using bacterial proteins,Design
focused on bacillus subtilis and bacillus thuringiensis israelensis,Experiments
obtained the two genes cry4ba and mtx1,Experiments
introduced the design of the experiment in presentation,Design
passion for doing experiment and social promotion activities,Experiments
in charge of entrepreneurship part in giant jamboree,Entrepreneurship
poster presentation,Creative Contributions
connector of the team,Collaboration
connecting other team and bringing about collaboration,Collaboration
connecting the company,Collaboration
"author of experiment and principal part in wiki, presentation, and poster",Documentation
designer of the team logo,Creative Contributions
helper in laboratory,Administration
brainstorm with teammates and provides ideas,Design
made the plan of the product,Design
responsible for advertisements of the product,Entrepreneurship
managed the sale of the product,Entrepreneurship
involved in the experiment and video making,Experiments
participated in experiments,Experiments
experience in molecular biology,Experiments
spent summer vacation doing experiments in the lab,Experiments
finding places for video shooting,Creative Contributions
member in human practice,Human Practices
activities recording and experience photographing,Creative Contributions
responsible for business plan of the product,Entrepreneurship
helped build the wiki,Documentation
made wonderful ppt,Creative Contributions
participated in tasks beneficial for the final result,Collaboration
wrote a final paper to summarize the survey result,Documentation
analyzed market position for the product,Analysis
set a business plan to popularize the product,Entrepreneurship
attributed to speech draft of business plan,Entrepreneurship
participated in the experiment of engineering,Experiments
laboratory chief of the teaching center of biology experiment,Administration
professor at sen yet sun university,Supervision
supervisor,Supervision
personnel management and experimental development advisor,Supervision
chief advisor for presentation,Supervision
helped students finish wiki and poster,Documentation
"instructed to design project and gave advice on team wiki, poster, and presentation",Design
lessons about synthetic biology and experimental course,Training
helped design and finish molecular biology experiment,Design
helped design and finish molecular biology experiment,Experiments
provided free stalls and allowed lecture to parents,Public Engagement
provided good material conditions and strong support,Material Supply
provided free spaces in the community for public engagement activities,Public Engagement
provides field for experiment and activating,Experiments
gives us many precious suggestions to our project,Supervision
advisor in modeling,Supervision
advisor in modeling,Modelling
in charge of the instruction of team project and experiment design,Administration
in charge of the management planning of igem-hust,Administration
student leader,Administration
student leader,Collaboration
main member,Administration
main member,Collaboration
main member,Creative Contributions
main member,Documentation
main member,Human Practices
main member,Public Engagement
main member,Supervision
junior majoring in biotechnology,Training
reliable member with excellent laboratory skills,Experiments
major in bio-technology,Training
building standard bioobricks in our project,Parts
member of experiment group,Experiments
"partner of yu, watching animations together",Creative Contributions
"member of experiment group, helping construct plasmid vector",Experiments
member of the modeling part,Modelling
"learned html, css, javascript, jquery, bootstrap and finish the wiki",Documentation
outgoing and hardworking girl,Creative Contributions
member of experimental group,Experiments
helps little,Collaboration
sophomore majoring in bio-informatics,Training
loves reading and basketball,Creative Contributions
happy guy,Creative Contributions
"first year in igem-hust, major in biology technology",Training
studying in tongji medical of huazhong university of science and technology,Training
member of our group for the capture part,Parts
wet lab work,Experiments
modeling,Modelling
wiki framework,Documentation
art and design,Creative Contributions
human practices,Human Practices
advisors,Supervision
special thanks,Collaboration
leader,Administration
designing & coding,Software
human practice,Human Practices
theory & experiment,Design
theory & experiment,Experiments
theory & experiment & human practice,Analysis
theory & experiment & human practice,Experiments
theory & experiment & human practice,Human Practices
instructor,Training
advisor,Supervision
demonstrate - 2017.igem.org,Public Engagement
design - 2017.igem.org,Design
experiment,Experiments
collaboration,Collaboration
achievement,Creative Contributions
parts,Parts
basic part,Parts
composite part,Parts
gold,Material Supply
silver,Material Supply
publicity,Public Engagement
biosafety,Safety
notebook,Documentation
protocols,Documentation
about us,Documentation
attributions,Documentation
engagement,Human Practices
回到顶部,Administration
improve,Creative Contributions
managing the team and instructing team members to design and implement the project,Supervision
managing the team and holding the public activity and investigation,Public Engagement
constructing the project theory and the experiments,Design
constructing the project theory and the experiments,Experiments
"responsible for the human practice with publicity, pulling sponsorship and so on",Human Practices
"responsible for the human practice with publicity, pulling sponsorship and so on",Fundraising
in charge of all the tasks of designing of the whole team,Design
in charge of modeling jobs,Modelling
instructed us to build our theory system and offered support to our experiment,Supervision
helped us with the lab safety and course arrangement,Safety
helped us with the lab safety and course arrangement,Training
taught us experimental skills,Training
gave suggestions to our experiment and helped us to contact with biotechnology companies,Supervision
helped us with the part construction and ta cloning,Parts
conducted bio-safety trainings for us,Safety
led us to the world of synthetic biology,Training
gave us an excellent chance to present our project,Public Engagement
supported us in the management of our team,Administration
lent us the computer room as activity site,Material Supply
provided primer synthesis and sequencing service,Material Supply
provided dna products,Material Supply
facilitated us building our theory system and offered advice to our human practice work,Supervision
we interviewed her on some basic information about ringworm and cancers,Human Practices
attended our interview on various aspects including treatment of melanoma and prospect of crispr,Human Practices
clarified us with the current situation and prospect of gene therapy and melanoma,Human Practices
gave us financial support,Fundraising
provided us with financial support and contribute to the publishing of our picture book,Fundraising
gave us financial support through the our crowdfunding programme,Fundraising
developed an idea for a bandage with an envelope of biocompatible plastic,Design
developed an idea for a pad consisting of silk with incorporated bacteriocins,Design
developed hybrid bacteriocins,Experiments
modified the wiki template,Documentation
is the faculty supervisor,Supervision
shared his expertise on project formulation and presentation,Supervision
provided helpful insights to refine the project and protocols,Supervision
helped understand the kinetics behind the project,Analysis
assisted with suggestions on cell lysis and protein purification,Experiments
helped model the phylogenic tree,Modelling
assisted with interlab and provided access to a plate reader,Interlab
acted as a liaison and provided access to funds,Fundraising
helped with setup and troubleshooting of equipment,Hardware
offered expertise during mrsa testing and ensured safety regulations were followed,Experiments
offered expertise during mrsa testing and ensured safety regulations were followed,Safety
participated in integrated human practices and shared insights on clinical application,Human Practices
donated and provided support,Fundraising
donated and provided support,Material Supply
guided throughout the journey,Supervision
sponsor,Fundraising
member of women in science and engineering (wise),Creative Contributions
involved with pre-med society,Creative Contributions
involved with synthetic biology cub,Collaboration
distinguished member of university scholars,Creative Contributions
involved with the muslim students association,Creative Contributions
member of university scholars,Administration
member of neuroscience axis,Administration
writer for stony brook young investigators review,Documentation
peer assisted learning leader at the astc,Training
member of the women’s soccer team,Creative Contributions
member of the national society of collegiate scholars,Administration
holds the title of sso (science and society) forever fellow,Administration
member of the honors college,Administration
member of stony brook’s club running team,Creative Contributions
serves as an rha senator,Administration
member of project sunshine,Human Practices
member of synthetic biology society,Collaboration
founder of the club swim team,Creative Contributions
actively involved with biochemistry society,Collaboration
actively involved with community service club,Human Practices
camp kesem counselor,Human Practices
medhacks campus ambassador,Collaboration
vice president of 3diatrics,Administration
member of the red watch band care team,Human Practices
pal leader in the academic and success tutoring center,Supervision
undergraduate researcher in the chemistry department,Experiments
member of stony brook undergraduate fellows,Collaboration
member of camp kesam,Human Practices
photographer for stony brook young investigators review,Creative Contributions
cert member,Safety
involved with environmental and greenhouse clubs,Human Practices
wiki design,Documentation
designing the project,Design
creating the appropriate protocols,Experiments
conducting all of the lab work,Experiments
allowing team to utilize his lab space,Material Supply
helping with troubleshooting,Experiments
providing lab materials,Material Supply
helping team organize lab space,Administration
helping purchase lab materials,Administration
helping team find sponsors within the university,Fundraising
providing appropriate environment for safe usage of aflatoxin b1,Safety
providing aflatoxin b1 for testing the project,Material Supply
designing and creating igem wiki page,Documentation
favorite animal: elk,Creative Contributions
favorite food: taco,Creative Contributions
loves to bake,Creative Contributions
favorite book: 1984,Creative Contributions
plays kerbal space program,Creative Contributions
blackbelt,Creative Contributions
likes to play frisbee,Creative Contributions
enjoys hiking,Creative Contributions
plays the guitar,Creative Contributions
assistant professor,Supervision
plays chess,Creative Contributions
participating in igem,Collaboration
focus on the molecular and cell biology,Design
major in clinical medicine,Human Practices
making the device in the team,Hardware
proposed the idea to check whether the plants are ill by detecting their vocs,Design
experiments of the remote-control of trichoderma,Experiments
domesticate the trichoderma,Experiments
interested in the connection between the engineered bacteria with plants,Design
modularizing and standardizing genes,Parts
major in biology,Design
playing table tennis,Creative Contributions
advisor of this team,Supervision
make the invisible microbial world more fascinating through synthetic biology,Design
"responsible for device design, data analysis and other programming work",Software
major in physics,Design
responsible for art work in our team,Creative Contributions
major in computer science and technology,Design
participating in igem,Collaboration
worked in lab,Experiments
cooperate with these interesting guys,Collaboration
responsible for making the device,Hardware
took part in experiments of the remote-control of trichoderma,Experiments
participating igem,Collaboration
make the invisible microbial world more fascinating,Public Engagement
responsible for device design and data analysis,Design
responsible for art work,Creative Contributions
instructor,Training
in charge of the lab,Administration
provided us with the trichoderma.atroviride and agrobacterium strain,Material Supply
provided trichoderma.atroviride and agrobacterium strain,Material Supply
gave random insertion plasmid,Material Supply
supported voc hardware examination,Hardware
allowed use of experimental apparatus platform,Material Supply
gave pseudomonas fluorescens 2p24 strain,Material Supply
gave four plasmids for t.atroviride genetic engineering kit,Material Supply
sampled gas from tobacco field for gc-ms,Experiments
contacted cntc in hunan province and led investigation,Collaboration
helped contact with managers of zhejiang science & technology museum,Collaboration
advised and reviewed human practices strategies,Supervision
advised and reviewed human practices strategies,Human Practices
instructor who supervised and ensured safety,Supervision
provided strong support in many aspects,Supervision
provided $1000 support for genes and primers synthesis,Fundraising
studying neuroscience,Training
joined the duke igem team and lynch lab in fall 2017,Collaboration
taking a gap year to continue his research on miraculin,Training
attend medical school,Training
majoring biomedical engineering,Training
passionate about statistics,Training
majoring in biophysics,Training
member of igem since his freshman year,Collaboration
interested in crispr mediated recombineering,Training
hopes to pursue a phd in bioengineering or biophysics,Training
studying the application of partition functions to molecular biology,Modelling
majoring in biomedical engineering and economics,Entrepreneurship
neuroscience major,Design
joined the duke igem team in spring 2018,Collaboration
sophomore and prospective biology/global health double major,Design
conducted research in molecular biology in the lee lab at vanderbilt university,Experiments
developed global health interests working with a health insurance system in northern togo last summer,Human Practices
enjoys duke club swim and teaching swim lessons,Creative Contributions
hopes to go abroad again to do medical research in underserved communities,Human Practices
advisor,Supervision
support on difficult techniques,Training
support,Supervision
experimental designs,Design
technical review and questions,Supervision
text and images integration,Documentation
community outreach,Public Engagement
financial support,Fundraising
worked on the 2nd lock in our triple lock system - semantic containment,Parts
"worked on mathematical modelling, building wiki and dna degradation switch",Modelling
worked on the 3rd lock in our triple lock system - alternative selection,Parts
"designed and carried out the experimentation that tested the protocols for making maxicells, and characterised the methods that were easiest and most efficient",Experiments
"mainly involved in design and construction of fabi and fabv parts, and was involved wet lab work and part design in other sides of the project",Design
"contributed to both the biosensor and interlab work, helped with graphical analysis of the data obtained, chief of social media, and our team photographer",Analysis
designed and assembled all micc constructs,Design
"worked on demonstrating the application of maxicells as biosensors, contributed to interlab study",Experiments
designed and carried out the experimentation for quantifying the active metabolic time frame of our maxicells,Experiments
presented our team at igem uk meetup at oxford,Public Engagement
"gave feedback on all parts of project, in particular lab work, experimental design. also allowed to use lab space once we could no longer use a teaching lab during the semester",Supervision
"supervised us throughout all the project, advised on human practises, looked after us to make everything go smoothly",Supervision
"lab supervisor who was always there and gave feedback for all parts of the project, trained us to use lab equipment and help troubleshoot when things went wrong",Supervision
"lab supervisor, looked after us to ensure the experiments go well",Supervision
"lab supervisor, looked after us to ensure the experiments go well",Experiments
"modelling supervisor, gave advice on presentation",Supervision
"modelling supervisor, gave advice on presentation",Modelling
"supervisor, helped with all parts of the project, especially data analysis",Supervision
"supervisor, helped with all parts of the project, especially data analysis",Analysis
"supervised us throughout all the project, gave feedback about the progression of our project",Supervision
advised on wet lab work,Supervision
helped the team in several meetings where she gave feedback on our approach to human practices and how likely our team was to achieve the various medal criteria,Supervision
advised us on project planning and academic work,Supervision
provided technical services and equipment,Material Supply
"edinburgh_og team member, helped with interlab study",Interlab
allowed the use of flow cytometer for the interlab study and taught us principles of flow cytometry,Interlab
allowed the use of flow cytometer for the interlab study and taught us principles of flow cytometry,Training
"provided us dapi, allowed us to use the leach lab fluorescence microscope, helped us greatly with microscopy result interpretation, provided us with strain named dl2524 and dl3355 and explained to us how it functioned",Experiments
"provided us dapi, allowed us to use the leach lab fluorescence microscope, helped us greatly with microscopy result interpretation, provided us with strain named dl2524 and dl3355 and explained to us how it functioned",Supervision
gave us advice on maxicell production and recommended us to try dl2524 and dl3355,Supervision
gave us advice on maxicell production and recommended us to try dl2524 and dl3355,Experiments
shared their lab space once we could no longer use a teaching lab during the semester and helped us with our experiments,Collaboration
allowed eva to use lab space and equipment for the semantic containment side of the project,Material Supply
advised on the use of amber suppression for preventing horizontal gene transfer,Supervision
designed our project logo,Creative Contributions
designed our team logo,Creative Contributions
advised on cloning work for the semantic containment side of the project,Supervision
albert bartlett representative who discussed with us attitudes towards gmo release and the usefulness of a maxicell chassis in agriculture,Human Practices
provided consultation on future use of our maxicell chassis in synthetic biology and industry,Entrepreneurship
working on the biosafety side of our project by attempting to put a block on horizontal gene transfer,Safety
focusing on the design and mathematical modelling of our killswitch,Design
focusing on the design and mathematical modelling of our killswitch,Modelling
testing methods for producing maxicells,Experiments
involved in the interlab,Interlab
focusing on adding an alternative selection marker - triclosan resistance - into e. coli,Parts
mascot and chief morale officer,Creative Contributions
jumped in on many parts of the project,Collaboration
jumped in on many parts of the project,Parts
baby was the fabv tricloasan resistant plasmid,Parts
working with inga and ben on the interlab task,Collaboration
focusing on biosensor part of our project,Parts
"team photographer, social media spammer, and data analyst",Public Engagement
chemist of the team,Experiments
working on most of the gene constructs to be used by others in our experiments,Parts
4th-year neuroscience student,Training
just finished my first year of medicine,Training
invaluable counsel in wet lab and bioinformatic processes,Supervision
"providing critical direction, resources, and advice to undergraduate students",Supervision
took charge of the virus-like particle (vlp) assembly process,Experiments
"modelled vlps, designed biobrick primers, created sds-page and agarose gels",Modelling
"modelled vlps, designed biobrick primers, created sds-page and agarose gels",Experiments
"made competent bl21 and dh5a cells, assisted with cloning attempts",Experiments
"assisted in cloning attempts, induction, protein purification, and restocking of lab supplies",Experiments
"designed gag construct variants, led gibson assembly and cloning attempts, cloned constructs for biobrick submittal",Design
"managed collaboration with team dalhousie, assisted with testing the gibson assembly method and cloning, induction, and protein purification processes",Collaboration
"plasmid mini preps and troubleshooting, protocols, wiki. business plan.",Documentation
"public outreach, seeking sponsors, lab work. building business model.",Public Engagement
"protein modeling for mutation simulations, root isolation, data collection. contacting farmers.",Modelling
"human practices, seeking sponsors and collaborations, environmental impact assessment.",Human Practices
"plant care, endophyte collection and identification, transformation of endophytes, lab work.",Experiments
