Activity,Matching,year
worked on the riot sensor,Parts,2016
coding of our wiki,Software,2016
sourced for sponsors,Fundraising,2016
analysing data from our survey for our business plan,Analysis,2016
worked on the riot responder,Parts,2016
part of the administrative team,Administration,2016
responsible for communicating our business plan to others,Entrepreneurship,2016
part of the team that sourced for sponsors,Collaboration,2016
worked on the riot invader,Parts,2016
in charge of the design of our wiki and team t-shirt design,Creative Contributions,2016
support and feedback on our presentation,Supervision,2016
providing cloning advice and supervising the riot sensor team’s characterisation experiments at the chang lab at the nus synthetic biology for clinical and technological innovation (syncti),Supervision,2016
photographer for our team photoshoot,Creative Contributions,2016
purchasing laboratory supplies and providing cloning and characterisation advice,Material Supply,2016
cloning and characterisation advice and hosting the riot responder team at his lab,Supervision,2016
hosting the riot sensor team and microplate reader experiments at syncti,Supervision,2016
permission to use the nissle 1917 ∆alr ∆dadx strain developed by his lab,Supervision,2016
administrative support,Administration,2016
hosting the riot invader team for invasion assays,Supervision,2016
cloning and characterisation advice and making appropriate arrangements for our experiments at the chang lab,Supervision,2016
cloning and characterisation advice and igem-specific guidance,Supervision,2016
development and characterisation of the riot sensor,Experiments,2016
support from the very beginning,Supervision,2016
providing parts essential for the riot sensor,Parts,2016
fruitful collaborations,Collaboration,2016
engaging discussions,Collaboration,2016
establishing a local connection,Collaboration,2016
supervising the riot responder team’s characterisation experiments,Supervision,2016
assistance with setting up our wiki,Documentation,2016
20 kb of free custom dna,Material Supply,2016
15% discount on our purchases,Entrepreneurship,2016
free matlab software,Software,2016
studying,Other,2016
wet lab work,Experiments,2016
building a robot,Hardware,2016
fun,Other,2016
conflicts,Other,2016
friendships,Other,2016
learning,Other,2016
physics students,Other,2016
biology students,Training,2016
new students,Training,2016
experienced students,Training,2016
kick-off,Administration,2016
literature research,Design,2016
project,Design,2016
meetings,Administration,2016
barbecue,Creative Contributions,2016
pub quiz,Creative Contributions,2016
workshops,Training,2016
cloning,Experiments,2016
biobrick system,Parts,2016
basics,Training,2016
computer programs,Software,2016
snapgene,Software,2016
scifinder,Software,2016
hiking,Other,2016
weinlagenwanderung,Other,2016
zwingenberg,Other,2016
vineyards,Other,2016
bergstraße mountains,Other,2016
picknick,Other,2016
kleinwalsertal weekend,Other,2016
seminar,Other,2016
kleinwalsertal,Other,2016
mountain,Other,2016
human practices work,Human Practices,2016
guest from milano,Other,2016
laura,Other,2016
milano,Other,2016
german meet-up,Collaboration,2016
marburg,Other,2016
german igem teams,Collaboration,2016
collaborations,Collaboration,2016
bubble soccer,Team-building event,2016
camping,Team-building event,2016
team-building event,Team-building event,2016
project coordination,Administration,2016
project management team,Administration,2016
pokémon-style event,Other,2016
pokéballs,Other,2016
mini-games,Other,2016
super potion,Other,2016
quiz,Other,2016
pokémon fight,Other,2016
trip to evonik,Other,2016
innovation unit,Other,2016
discussions,Other,2016
tour,Other,2016
marl chemical park,Other,2016
interdisciplinary exchange,Collaboration,2016
robotics team,Collaboration,2016
hardware part,Hardware,2016
advised,Supervision,2016
mvenus,Parts,2016
t7-promoter,Parts,2016
raspberry pi/arduino,Hardware,2016
young researchers,Training,2016
presenting our project,Public Engagement,2016
giant jamboree,Creative Contributions,2016
managing our orders,Administration,2016
supporting us with materials and expertise,Material Supply,2016
"providing materials, lab space, and advice",Material Supply,2016
former igem team member,Other,2016
providing advice regarding human practices,Human Practices,2016
helping manage sponsoring,Fundraising,2016
giving a workshop for our sponsoring team,Training,2016
helping the design team with html,Software,2016
supervising the chemical synthesis group,Supervision,2016
helping the hardware team,Hardware,2016
giving advice to the modeling team,Supervision,2016
giving advice and support,Supervision,2016
supporting us financially and providing opportunities,Fundraising,2016
supporting us financially and giving workshops,Fundraising,2016
supporting us financially,Fundraising,2016
organizing the annual competition,Administration,2016
helped us to test minicolicin in other organisms than e. coli,Experiments,2016
tried to help us with the assembly and characterisation of the orthogonal pair,Parts,2016
constructed their onby (o‑nitrobenzyl‑o‑tyrosine) orthogonal pair,Parts,2016
collaborated regarding the syringe pump,Collaboration,2016
organised a collaboration of eight igem teams in germany,Collaboration,2016
arranged the german igem meet‑up,Collaboration,2016
participated on last years´s igem team,Other,2016
participating at the igem competition for the second time,Other,2016
taking part at the igem-project for the first time,Other,2016
participated in igem for the first time,Other,2016
helped with the human practices project,Human Practices,2016
"troubleshooting, advising, and letting us use the ihvcb lab for the experiments",Supervision,2016
consulting and advising our modeling division,Supervision,2016
every consultation and advices,Supervision,2016
advising our human practice event and introducing our team to several interviewees for our social studies,Human Practices,2016
every particular support given,Supervision,2016
financial and fundraising consultation,Fundraising,2016
"advising, and supporting every human practice studies we’ve done",Human Practices,2016
checking our progress and being our presentation coach,Supervision,2016
helped us during our lab work activities,Experiments,2016
sharing and spreading the news about our event,Public Engagement,2016
"visiting and supporting our exhibition booth during education fair, may 28-29th 2016",Public Engagement,2016
speaker at synbio day integrating technology and socio-culture perspective,Public Engagement,2016
grant our wish to conduct school visit event,Public Engagement,2016
hosted public discussion forum,Public Engagement,2016
actively participating and giving feedback during discussion,Public Engagement,2016
interviewed during street interview,Public Engagement,2016
speaker at special talk for social studies,Public Engagement,2016
financial and funding support,Fundraising,2016
helping determine project,Design,2016
offering guidance and advice,Supervision,2016
allowing use of fluorescence microscope,Material Supply,2016
providing bacteria carrying plasmid,Material Supply,2016
offering genome of yeast and pyescgap plasmid,Material Supply,2016
helping with experiments,Experiments,2016
support on lab and reagents,Material Supply,2016
allowing use of micro-spectrophotometer,Material Supply,2016
advice on project,Supervision,2016
offering pgad-t7 plasmid and pgbk-t7 plasmid,Material Supply,2016
helping with image processing,Analysis,2016
help on ustc new team recruitment,Collaboration,2016
providing opportunity to share ideas and make progress together,Collaboration,2016
"taking in charge of daily affairs in lab, project outreach through social network and activities, hosting the preliminary investigation, attributing work to team members, managing the global experiment design and the project progress, taking part in the construction of the pro priontein system, writing the contents of our wiki.",Administration,2016
"focusing on the academic assistance, working a lot for the preliminary investigation especially on the characteristics of sup35, assisting our experiments, taking charge of adding parts to the registry.",Supervision,2016
"focusing on the logistical support, taking charge of making the competent cells, preparing mediums, instructing other team members in performing experiments.",Administration,2016
"taking charge of financial affairs, connecting with our sponsor, register of our team, register of the giant jamboree, assisting team members to get the visa, shipping our parts to hq, assisting writing our wiki.",Fundraising,2016
"focusing on the experiments of the propri-ontein system, finishing 3 circuits of this system, main performer of the experiments, devoting more time than others to our experiment, assisting the experiments of other groups.",Experiments,2016
"main performer of our modeling part, main performer of the preliminary investigation, taking charge of helping team bit with their modeling, assisting a lot of experiments.",Modelling,2016
"focusing on the experiments of the pro priontein system, finishing 4 circuits of this system, working a lot for the preliminary investigation, designing the experiments of gfp split and performing those, writing the contents around the pro priontein system on our wiki.",Experiments,2016
"focusing on the experiments of the pro priontein system, working a lot for the preliminary investigation, performing a lot of experiments, taking charge of designing and buying our team uniform, taking charge of observing results through the fluoresence microscope, assisting writing our wiki.",Experiments,2016
"working a lot for the preliminary investigation, giving lectures about modeling to our members, taking charge of our modeling, taking charge of the collaboration with team bit, assisting experiments and wiki writing.",Modelling,2016
"taking charge of writing the codes of our wiki, shooting a film about the molecular biology experiments to train our team member, assisting the art design, taking charge of the poster design, assisting the experiments and human practices.",Software,2016
"main performer of our experiments, taking part in the experiments of both systems of our project, assisting hosting the weekly meeting, assisting the preliminary investigation, assisting human practices, assisting writing our wiki and registering our parts.",Experiments,2016
"working a lot for the preliminary investigation, taking part in the experiments of the propri-ontein system, writing the contents around the propri-ontein system on our wiki, assisting our human practices.",Experiments,2016
"working a lot for the preliminary investigation, taking part in the experiments of the pro priontein system, assisting writing our wiki.",Experiments,2016
"working a lot for the preliminary investigation, taking part in the experiments of the pro priontein system, assisting writing our wiki.",Documentation,2016
"working a lot for the preliminary investigation, working a lot on our experiments, assisting our human practices, taking charge of designing and printing the calling card of our team.",Experiments,2016
"working a lot for the preliminary investigation, working a lot on our experiments, assisting our human practices, taking charge of designing and printing the calling card of our team.",Human Practices,2016
"the proposer of doing a project around the yeast prion, working a lot for the preliminary investigation, assisting all the experiments, observing results through fluorescence microscope, assisting writing our wiki.",Design,2016
"the proposer of doing a project around the yeast prion, working a lot for the preliminary investigation, assisting all the experiments, observing results through fluorescence microscope, assisting writing our wiki.",Experiments,2016
"the proposer of doing a project around the yeast prion, working a lot for the preliminary investigation, assisting all the experiments, observing results through fluorescence microscope, assisting writing our wiki.",Documentation,2016
"working a lot for the preliminary investigation, taking charge of our human practices, assisting experiments, writing the contents around human practices on our wiki.",Design,2016
"working a lot for the preliminary investigation, taking charge of our human practices, assisting experiments, writing the contents around human practices on our wiki.",Experiments,2016
"working a lot for the preliminary investigation, taking charge of our human practices, assisting experiments, writing the contents around human practices on our wiki.",Documentation,2016
"working a lot for the preliminary investigation, assisting the experiments of all groups, helping design our mascot, assisting writing our wiki.",Experiments,2016
"working a lot for the preliminary investigation, assisting the experiments of all groups, helping design our mascot, assisting writing our wiki.",Documentation,2016
"assisting experiments and modeling, taking charge of programming our spin-off software.",Experiments,2016
"assisting experiments and modeling, taking charge of programming our spin-off software.",Modelling,2016
"taking charge of designing and making our hardware, assisting our experiments, giving lectures about hardwares to our team members.",Hardware,2016
"taking charge of designing and making our hardware, assisting our experiments, giving lectures about hardwares to our team members.",Experiments,2016
"assisting writing codes of our wiki, assisting proofreading our wiki, assisting experiments and human practices, assisting our modeling.",Documentation,2016
"assisting writing codes of our wiki, assisting proofreading our wiki, assisting experiments and human practices, assisting our modeling.",Software,2016
"assisting the preliminary investigation, assisting the experiments.",Experiments,2016
"taking charge of proofreading our experiment logs and wiki, assisting the preliminary investigation, assisting art design, helping with the cartography, assisting the wiki design.",Documentation,2016
"taking charge of proofreading our experiment logs and wiki, assisting the preliminary investigation, assisting art design, helping with the cartography, assisting the wiki design.",Creative Contributions,2016
"managing human practices, managing the encoding life association (ela) organized by our team.",Human Practices,2016
leader of our team,Administration,2016
vice team leader,Administration,2016
team manager,Administration,2016
molecular cloning tasks,Experiments,2016
experiment performer,Experiments,2016
friendly teammate,Collaboration,2016
helpful teammate,Collaboration,2016
cyber guy & wiki designer,Software,2016
physics major with excellent performance in biological experiments,Experiments,2016
academic guy,Other,2016
plastic expert,Other,2016
hardworking team member,Administration,2016
good at performing experiments,Experiments,2016
in charge of human practice work,Human Practices,2016
stimulus and talker,Other,2016
good at computer science,Software,2016
freshman with great passion,Other,2016
warm-hearted team member,Other,2016
skilled team member,Other,2016
smart team member,Other,2016
boy who loves laughing,Other,2016
sponsored the ustc igem team,Fundraising,2016
donated to the ustc igem team,Fundraising,2016
has a successful partnership with ustc,Collaboration,2016
acts through the deutsche bank asia foundation,Other,2016
is the exclusive sponsor of the igem ustc team,Fundraising,2016
helped us determine the topic of our project,Design,2016
gave us lots of valuable advices in basic biology,Supervision,2016
instructed us by his lecture of synthetic biology,Training,2016
provided us a high performance server to operate the backend,Hardware,2016
offered us beneficial advices on software programming,Software,2016
genuine support throughout our project,Supervision,2016
did not stint their warm concern and professional assistance in their replying our mails during our development process,Supervision,2016
project management,Administration,2016
docker & unit test,Software,2016
art,Creative Contributions,2016
biology support,Supervision,2016
biobrick management,Parts,2016
module: pano,Design,2016
module: pathway_finder,Software,2016
module: forum,Software,2016
module: simulation,Modelling,2016
module: blast,Analysis,2016
module: abacus,Analysis,2016
module: biobrick_manager,Parts,2016
arranging the fund,Fundraising,2016
enhance the alumni foundations to make ustc better,Other,2016
full support of our project and our trip to the usa,Other,2016
financial support on our project,Other,2016
consummation of our project,Design,2016
vice team leader,Administration,2016
molecular cloning,Experiments,2016
friendly,Other,2016
cyber guy,Software,2016
analyzing problem and solving,Analysis,2016
hardworking,Other,2016
human practice work,Human Practices,2016
computer science,Software,2016
passionate,Other,2016
warm-hearted,Other,2016
skilled,Other,2016
smart,Other,2016
strong sense of responsibility,Other,2016
thermococcus kodakarensis protocols,Experiments,2017
use of their lab and assistance with some protocols,Material Supply,2017
assistance with the liquid liquid extraction protocol,Experiments,2017
running the gas chromatagraph for the team,Experiments,2017
teaching a biological research methods seminar,Training,2017
assistance with hotel booking,Administration,2017
assistance with booking flights,Administration,2017
funding support,Fundraising,2017
recruiting new members,Collaboration,2017
teaching a two day lab methods seminar,Training,2017
laboratory work started in may,Experiments,2017
co-president,Administration,2017
microbiology major,Other,2017
chemical and biological engineering program,Other,2017
microbiology,Other,2017
biochemistry and molecular biology,Other,2017
chemical & biological engineering,Other,2017
participate in the interlab measurement study,Interlab,2017
improve the characterization of an existing biobrick part,Parts,2017
enter this information on that part's main page in the registry,Documentation,2017
document at least one new substantial contribution to the igem community,Documentation,2017
president,Administration,2017
wet lab team lead,Administration,2017
human practices team lead,Human Practices,2017
fundraising team lead,Fundraising,2017
dry lab team lead,Administration,2017
web design team lead,Creative Contributions,2017
communications team lead,Public Engagement,2017
wet lab,Experiments,2017
wet lab/human practices,Experiments,2017
wet lab/human practices,Human Practices,2017
interlab team lead,Interlab,2017
dry lab mentor,Supervision,2017
wet lab mentor,Supervision,2017
wet lab/cloning mentor,Supervision,2017
wet lab/human practices mentor,Supervision,2017
dry lab/web design mentor,Supervision,2017
primary pi,Supervision,2017
secondary pi,Supervision,2017
faculty advisor,Supervision,2017
helped form and direct the project,Design,2017
provided their lab and many reagents,Material Supply,2017
provided presentation coaching and formed a journal club,Training,2017
arranged our own igem laboratory space,Material Supply,2017
provided the porcupine fecal samples and diet data sheets,Material Supply,2017
welcomed us into their lab and taught us how to create a cosmid library for functional metagenomics,Training,2017
"provided us with e.coli strain hb101, and cosmid pjc8",Material Supply,2017
provided metagenomic library mentorship and support,Supervision,2017
gave us access to his pulse-field gel electrophoresis equipment and offered instruction and supervision,Material Supply,2017
"provided mentorship on primer design, general cloning and assay development",Supervision,2017
provided mentorship in assay development,Supervision,2017
provided general cloning tips and laboratory supervision,Supervision,2017
provided substrates and guidance for the enzymatic fluorophore assay,Experiments,2017
provided metagenomic sequencing of the porcupine,Experiments,2017
wrote the pipeline used to pull out novel cellulose-degrading enzymes from the metagenomic sequencing,Software,2017
provided dedicated mentorship to the human practices team,Supervision,2017
facilitated our dna extraction workshop,Training,2017
included us in their programming,Collaboration,2017
gave us access to the biochemistry teaching labs at dalhousie university for shad valley and supernova workshops,Material Supply,2017
provided us the opportunity to lead a workshop in their innovation lab,Training,2017
provided us a space at dalhousie open house to spread the word of igem to prospective dalhousie students,Public Engagement,2017
agreed to an interview and gave us priceless advice for improving our igem team,Human Practices,2017
agreed to an interview and provided insight into the future of metagenomics and dna sequencing technology,Human Practices,2017
agreed to an interview and provided insight into the pulp and paper industry,Human Practices,2017
invited us to their factory and provided a tour,Human Practices,2017
agreed to an interview on science communication,Human Practices,2017
agreed to an interview and gave her opinions on how science communication can become better,Human Practices,2017
agreed to an interview and gave us insight on his take on science communication,Human Practices,2017
agreed to an interview and gave her professional opinion on science communication,Human Practices,2017
"agreed to an interview, and gave us advice on how to properly set up our science communication survey",Human Practices,2017
helped us create a successful crowdfunding campaign,Fundraising,2017
used her experience in management to bring fundraising to new heights,Fundraising,2017
used his many connections and knowledge of fundraising to mentor us,Fundraising,2017
hosted workshops on web design and provided help whenever we got stuck,Training,2017
provided his mentorship on web design,Supervision,2017
spent hours making and coding the website,Software,2017
provided peripheral help on uploading content to the wiki,Documentation,2017
kept track of the books,Administration,2017
signed off on a special purposes account for dalhousie igem,Administration,2017
"provided us with industry contacts, helped us apply to the springboard grant, and provided advice on intellectual property",Entrepreneurship,2017
put us in connection with local biotech companies and wrote a blog about our team to get our name out there,Public Engagement,2017
designed the logos,Creative Contributions,2017
read over applications and chose a strong team,Administration,2017
provided continuous support,Supervision,2017
made our amazing t-shirts,Creative Contributions,2017
provided us with mentorship on how to write good lay summaries,Supervision,2017
sponsored our project under indian biological engineering competition (ibec),Fundraising,2017
provided the initial fund required for registration in igem,Fundraising,2017
provided the facility of synthesizing our designed dna as double stranded g-blocks,Material Supply,2017
"provided ideas and concepts for the project, mediated with school authorities in outreach initiatives, and helped gather funds",Collaboration,2017
"nurtured the team, assisted in lab activities, and helped design experiments",Supervision,2017
"managed team work according to igem deadlines, assisted with the wiki page and public relations",Administration,2017
"managed team work according to igem deadlines, assisted with the wiki page and public relations",Documentation,2017
"contributed to lab experiments, conducted interactive talk sessions, designed the logo, organized events, and managed social networking sites",Experiments,2017
"contributed to lab experiments, conducted interactive talk sessions, designed the logo, organized events, and managed social networking sites",Public Engagement,2017
"contributed to lab work and experiments, conducted interactive talk sessions, wrote content for the wiki page, attended regional meetups, and conducted literature surveys",Experiments,2017
"contributed to lab work and experiments, conducted interactive talk sessions, wrote content for the wiki page, attended regional meetups, and conducted literature surveys",Documentation,2017
"designed the logo, conducted interactive sessions at schools, participated in village awareness campaigns, and prepared games for college events",Creative Contributions,2017
"designed the logo, conducted interactive sessions at schools, participated in village awareness campaigns, and prepared games for college events",Public Engagement,2017
"contributed to the wiki page theme, created surveys and questionnaires, and conducted talk sessions at schools",Documentation,2017
"contributed to the wiki page theme, created surveys and questionnaires, and conducted talk sessions at schools",Public Engagement,2017
"contributed to experiment designing, lab work, bioinformatics study, literature survey, and t-shirt designing",Experiments,2017
"contributed to experiment designing, lab work, bioinformatics study, literature survey, and t-shirt designing",Documentation,2017
"contributed to cloning experiments, protein profiling, literature survey, statistical analysis, product formation, and data analysis for igem interlab study",Experiments,2017
"contributed to cloning experiments, protein profiling, literature survey, statistical analysis, product formation, and data analysis for igem interlab study",Analysis,2017
contributed to the wiki theme and wiki page designing,Documentation,2017
contributed to the wiki theme and wiki page designing,Creative Contributions,2017
captured group pictures at various events and during lab work,Creative Contributions,2017
provided the facility of gfp plate,Material Supply,2017
document at least one new substantial contribution to the igem community,Documentation,2017
"gave feedback on all parts of project, in particular lab work, experimental design, and modelling",Supervision,2017
"helped facilitate discussions within the team, particularly regarding human practices and gave our team more information to improve experimental design and strategy",Supervision,2017
lab supervisor who was always there to train us to use lab equipment and help troubleshoot when things went wrong,Supervision,2017
gave feedback on human practices and our ideas of presenting the project,Supervision,2017
"always willing to lend the team a helping hand, double-checking primers are correct and giving ideas to troubleshoot things that went wrong in the lab",Supervision,2017
"helped the team by allowing her lab to share various materials and plasmids that would be incorporated into the project, including serine integrases",Material Supply,2017
assisted the team by meeting with members involved in modelling and allowing whole lab to give feedback to current modelling project,Supervision,2017
gave team access to materials to build the fluidic device and training on how to use them,Material Supply,2017
allowed members of his lab to share plasmids containing recombinase parts that would form the backbone of our toolkit,Material Supply,2017
helped the team in several meetings where she gave feedback on our approach to human practices and how likely our team was to achieve the various medal criteria,Human Practices,2017
personally assisted the team in obtaining tyrosine recombinases and also gave feedback regarding design of our constructs that were targeted by recombinases,Parts,2017
helped starting from day one with design and implementation of the microfluidic device,Design,2017
gave advice to the team about the best strategy for chromosomal integration and helped the team by providing plasmids that would allow for chromosomal integration,Parts,2017
supported the modelling efforts of the team by constructively criticising the then-current model developed by the team and giving advice on how to incorporate the modelling fully into the project in a way that would be exciting to researchers,Modelling,2017
"assisted the team during a very productive meeting regarding human practices, where we got a lot of feedback on how our plan for human practices could integrate into the project",Human Practices,2017
"helped the team during september to october, taught the team on using the equipments in the french lab, and helped troubleshooting and provided feedback for the wet lab",Training,2017
"worked extensively in the wet and dry lab. she was responsible for designing most of our primers, oligos, and assembly methods. furthermore, she conceived of various experimental plans and techniques that the team implemented. also contributed significantly to work in wet lab, particularly the verification of recombinase target sites and recombinases",Experiments,2017
"in the dry lab teri helped with modelling, design of the overall project and experimental procedures, and also contributed by designing some ordered dna. furthermore, teri helped the team work and troubleshoot in the wet lab",Modelling,2017
"was one of our wet lab experts. he made sure everything stayed organised within the lab, both the materials required and the work schedule of each team member. of course, he further contributed by performing hundreds of experiments himself",Experiments,2017
"in the dry lab jack helped the team work on human practices. he also helped brainstorm ideas for the project and catalogued parts. jack also contributed to wet lab work, often focusing on the randomiser construct",Analysis,2017
"in the dry lab jack helped the team work on human practices. he also helped brainstorm ideas for the project and catalogued parts. jack also contributed to wet lab work, often focusing on the randomiser construct",Design,2017
"in the dry lab jack helped the team work on human practices. he also helped brainstorm ideas for the project and catalogued parts. jack also contributed to wet lab work, often focusing on the randomiser construct",Experiments,2017
"in the dry lab jack helped the team work on human practices. he also helped brainstorm ideas for the project and catalogued parts. jack also contributed to wet lab work, often focusing on the randomiser construct",Documentation,2017
"worked in both the wet lab for biology and the clean room where she and joe built the microfluidic device. she also helped design this device. outside of the labs, she contributed to the teams research for human practices",Experiments,2017
"worked in both the wet lab for biology and the clean room where she and joe built the microfluidic device. she also helped design this device. outside of the labs, she contributed to the teams research for human practices",Design,2017
"worked in both the wet lab for biology and the clean room where she and joe built the microfluidic device. she also helped design this device. outside of the labs, she contributed to the teams research for human practices",Human Practices,2017
"was the team’s human practices expert, shouldering most of data collection responsibility as well as analysing all of the data and drawing conclusions. she also helped the team in the biology wet lab, helping clone our constructs and transform and screen our cells",Experiments,2017
"was the team’s human practices expert, shouldering most of data collection responsibility as well as analysing all of the data and drawing conclusions. she also helped the team in the biology wet lab, helping clone our constructs and transform and screen our cells",Documentation,2017
"was the team’s human practices expert, shouldering most of data collection responsibility as well as analysing all of the data and drawing conclusions. she also helped the team in the biology wet lab, helping clone our constructs and transform and screen our cells",Human Practices,2017
"worked extensively in the wet lab. he was involved with effectively all biological experiments, from creating the recombinase target sites to purifying protein to aid with modelling. furthermore, he helped raise funding for the team and contributed to our public outreach",Experiments,2017
"worked extensively in the wet lab. he was involved with effectively all biological experiments, from creating the recombinase target sites to purifying protein to aid with modelling. furthermore, he helped raise funding for the team and contributed to our public outreach",Fundraising,2017
"worked extensively in the wet lab. he was involved with effectively all biological experiments, from creating the recombinase target sites to purifying protein to aid with modelling. furthermore, he helped raise funding for the team and contributed to our public outreach",Public Engagement,2017
"was involved in nearly every aspect of the project to some capacity. he helped design and build the microfluidic device and also helped design our scoring system and analyses of for human practices. furthermore, he helped design the wiki and all material released on behalf of the team",Design,2017
"was involved in nearly every aspect of the project to some capacity. he helped design and build the microfluidic device and also helped design our scoring system and analyses of for human practices. furthermore, he helped design the wiki and all material released on behalf of the team",Documentation,2017
"was involved in nearly every aspect of the project to some capacity. he helped design and build the microfluidic device and also helped design our scoring system and analyses of for human practices. furthermore, he helped design the wiki and all material released on behalf of the team",Public Engagement,2017
"was crucial to the success of the modelling of the project, developing the software that helped the model be visualised and applied to other research contexts. she also, of course, helped develop the model itself. beyond this, cynthia helped develop certain aspects of the wiki",Modelling,2017
"was crucial to the success of the modelling of the project, developing the software that helped the model be visualised and applied to other research contexts. she also, of course, helped develop the model itself. beyond this, cynthia helped develop certain aspects of the wiki",Documentation,2017
helped the team develop the oligo designer software to make it easier for other scientists to design constructs containing recombinase target sites. he was also instrumental in creating the wiki,Software,2017
helped the team develop the oligo designer software to make it easier for other scientists to design constructs containing recombinase target sites. he was also instrumental in creating the wiki,Documentation,2017
improve the characterization of an existing biobrick part or device,Parts,2017
joined the big family of the igem,Collaboration,2017
show ourselves,Public Engagement,2017
joined in igem competition,Collaboration,2017
attend the igem,Collaboration,2017
responsible for human practice and wiki in gzhs-united,Human Practices,2017
leader of gzhs-united,Administration,2017
participate in any competition,Collaboration,2017
meet so many interesting teammates,Collaboration,2017
"good at piano, badminton and bird-watching",Other,2017
student from guangdong experimental high school,Other,2017
good at making gel and the blank control of pcr,Experiments,2017
devoting herself to international genetically engineered machine competition,Other,2017
love painting and playing bridge,Creative Contributions,2017
"good at mathematics, physics and history",Other,2017
undergraduate student from south china agricultural university,Other,2017
designer in our team,Design,2017
responsible for mathematical modeling and wiki design,Modelling,2017
member of wet-lab team,Experiments,2017
responsible for some translation work and some human practice work,Human Practices,2017
advicer,Supervision,2017
improvement of professional words and oral english,Other,2017
advisor,Supervision,2017
president of guangdong experimental high school,Administration,2017
laboratory chief of the teaching center of biology experiment,Administration,2017
experienced biology teacher of guangdong experimental middle school,Training,2017
young professor of biology in sun yat-sen university,Supervision,2017
postdoctor from southern medical university,Supervision,2017
participated in interlab measurement study,Interlab,2017
sumitted a new part k2415000,Parts,2017
improved the function of part bba_k2074101,Parts,2017
sumitted a new part bba_k2415005,Parts,2017
experiment data record and picture collection,Experiments,2017
conclusion for improvement and suggestions of the experiment,Analysis,2017
involved in the lab experiments,Experiments,2017
responsible for the wiki attribution part,Documentation,2017
member of human practice projects,Human Practices,2017
main designer of the group poster,Creative Contributions,2017
designer of the presentation powerpoint,Creative Contributions,2017
in charge of the bacteria part of the experiment,Experiments,2017
designer of human practice's content,Human Practices,2017
responsible for experimental data collection,Experiments,2017
assistant of the daily reporter,Administration,2017
responsible for human practices and public engagement activities,Human Practices,2017
participated in lab work,Experiments,2017
involved in wiki design,Documentation,2017
brought cats to keep team members in a good mood,Creative Contributions,2017
came up with the idea of killing mosquitoes using bacterial proteins,Design,2017
focused on bacillus subtilis and bacillus thuringiensis israelensis,Design,2017
obtained the genes cry4ba and mtx1,Parts,2017
responsible for introducing the experiment design,Design,2017
passion for doing experiments and social promotion activities,Experiments,2017
in charge of entrepreneurship part in the giant jamboree,Entrepreneurship,2017
in charge of the poster presentation,Creative Contributions,2017
connector of the team,Collaboration,2017
connecting other teams and bringing about collaboration,Collaboration,2017
connecting the company,Entrepreneurship,2017
"author of experiment and principal part in wiki, presentation, and poster",Experiments,2017
"author of experiment and principal part in wiki, presentation, and poster",Documentation,2017
designer of the team logo,Creative Contributions,2017
helper in laboratory,Experiments,2017
brainstormed with teammates and provided good ideas,Design,2017
made the plan of the product,Design,2017
responsible for advertisements of the product,Entrepreneurship,2017
managed the sale of the product,Entrepreneurship,2017
involved in the experiment and video making,Experiments,2017
participated in the experiments in the team,Experiments,2017
experience in molecular biology,Training,2017
spent summer vacation doing experiments in the lab,Experiments,2017
member in the human practice,Human Practices,2017
set up stalls and advertised the project,Public Engagement,2017
responsible for activities recording and experience photographing,Documentation,2017
responsible for the business plan of the product,Entrepreneurship,2017
helped build the wiki,Documentation,2017
made ppt,Creative Contributions,2017
participated in tasks beneficial for the final result,Collaboration,2017
wrote a final paper summarizing the survey result,Documentation,2017
analyzed the market position for the product,Entrepreneurship,2017
set a business plan to popularize the product,Entrepreneurship,2017
attributed to speech draft of business plan,Entrepreneurship,2017
took part in the experiment of engineering,Experiments,2017
provided lab places and apparatus,Material Supply,2017
conducted safety training and lab regulation,Safety,2017
in charge of apparatus and helped with preparations,Administration,2017
provided suggestions to improve the experiment,Supervision,2017
supervisor of the project,Supervision,2017
personnel management and experimental development advisor,Supervision,2017
chief advisor for presentation,Supervision,2017
helped students finish their wiki and poster,Documentation,2017
instructed the team to design the project,Design,2017
lessons about synthetic biology and experimental course,Training,2017
helped design and finish molecular biology experiment,Experiments,2017
provided places for training classes,Training,2017
skillful in delivering presentations and gave suggestions for graphic design and speech,Creative Contributions,2017
provided free stalls and allowed lecture to parents,Material Supply,2017
provided free spaces in the community for public engagement and education activities,Public Engagement,2017
provides field for experiment and activating,Material Supply,2017
gives us many precious suggestions to our project,Supervision,2017
is our advisor in modeling,Supervision,2017
is in charge of the instruction of team project and experiment design,Administration,2017
is in charge of the management planning of igem-hust,Administration,2017
is the greatest student leader,Administration,2017
is a main member,Other,2017
stayed at school and learned some experimental skills,Training,2017
has excellent laboratory skills,Experiments,2017
has a great passion for synthetic biology,Design,2017
is mainly in charge of building standard biobricks in our project,Parts,2017
is a member of the experiment group,Experiments,2017
met a cute and impressive cat,Other,2017
watches animations with yu,Other,2017
"helps construct plasmid vector with new features, preparing and submitting parts",Parts,2017
is a member of the modeling part,Modelling,2017
"learned html, css, javascript, jquery, bootstrap and finished the wiki in three months",Documentation,2017
is an outgoing and hardworking girl,Other,2017
hopes to win the war against folly,Other,2017
helps little,Other,2017
is a member of the experimental group,Experiments,2017
loves reading and basketball,Other,2017
is a happy guy,Other,2017
