"context","target_processed","year","team_processed","team","target","source_team","batch_id","chunk_id","id","team_matched","target_matched","category"
"collaborated with","uga georgia",2015,"nagahama","Nagahama","UGA-Georgia","Nagahama",4,11,"4-11","Nagahama","UGA-Georgia","work"
"collaborated with","uga georgia",2015,"nagahama","Nagahama","UGA-Georgia","Nagahama",836,3,"836-3","Nagahama","UGA-Georgia","work"
"collaborated with","zhejiang university",2015,"hangzhou h14z","Hangzhou-H14Z","Zhejiang University","Hangzhou-H14Z",21,3,"21-3","Hangzhou-H14Z","ZJU-China","work"
"collaborated with","eindhoven team",2015,"toulouse","Toulouse","Eindhoven team","Toulouse",539,5,"539-5","Toulouse","TU_Eindhoven","work"
"collaborated with","em 2008 kuleuven",2015,"technion hs israel","Technion_HS_Israel","EM 2008 KULeuven","Technion_HS_Israel",271,5,"271-5","Technion_HS_Israel","KU_Leuven","work"
"collaborated with","hzau china",2015,"zju china","ZJU-China","HZAU-China","ZJU-China",445,11,"445-11","ZJU-China","HZAU-China","work"
"collaborated with","epf lausanne",2015,"eth zurich","ETH Zurich","EPF Lausanne","ETH_Zurich",883,5,"883-5","ETH_Zurich","EPF_Lausanne","work"
"collaborated with","mit 2015 igem team",2015,"wellesley thetech","Wellesley_TheTech","MIT 2015 iGEM Team","Wellesley_TheTech",331,4,"331-4","Wellesley_TheTech","MIT","work"
"collaborated with","mit app inventor team",2015,"wellesley thetech","Wellesley_TheTech","MIT App Inventor team","Wellesley_TheTech",920,3,"920-3","Wellesley_TheTech","MIT","work"
"collaborated with","uga georgia",2015,"nagahama","Nagahama","UGA-Georgia","Nagahama",520,2,"520-2","Nagahama","UGA-Georgia","work"
"collaborated with","tec monterrey 2011",2015,"concordia","Concordia","Tec-Monterrey 2011","Concordia",431,14,"431-14","Concordia","Tec-Monterrey","work"
"collaborated with","uga georgia",2015,"nagahama","Nagahama","UGA-Georgia","Nagahama",1038,0,"1038-0","Nagahama","UGA-Georgia","work"
"collaborated with","mit igem 2015",2015,"bostonu","BostonU","MIT iGEM 2015","BostonU",579,5,"579-5","BostonU","MIT","work"
"collaborated with","uga georgia",2015,"nagahama","Nagahama","UGA-Georgia","Nagahama",336,1,"336-1","Nagahama","UGA-Georgia","work"
"collaborated with","iit delhi",2015,"iit kharagpur","IIT_Kharagpur","IIT Delhi","IIT_Kharagpur",450,4,"450-4","IIT_Kharagpur","IIT_Delhi","work"
"collaborated with","eplf lausanne",2015,"paris saclay","Paris_Saclay","EPLF-Lausanne","Paris_Saclay",1038,4,"1038-4","Paris_Saclay","EPF_Lausanne","work"
"collaborated with","nefu china",2015,"nagahama","Nagahama","NEFU_China","Nagahama",27,2,"27-2","Nagahama","NEFU-China","work"
"collaborated with","ku leuven",2015,"toulouse","Toulouse","KU Leuven","Toulouse",485,3,"485-3","Toulouse","KU_Leuven","work"
"collaborated with","igem teams from indonesia",2015,"itb indonesia","ITB_INDONESIA","iGEM Teams from Indonesia","ITB_INDONESIA",107,1,"107-1","ITB_INDONESIA","UB_Indonesia","work"
"collaborated with","tübingen",2015,"tu darmstadt","TU Darmstadt","Tübingen","TU_Darmstadt",426,2,"426-2","TU_Darmstadt","Tuebingen","work"
"collaborated with","nefu china",2015,"nagahama","Nagahama","NEFU_China","Nagahama",336,1,"336-1","Nagahama","NEFU-China","work"
"collaborated with","dr. wendell lim at ucsf",2015,"bostonu","BostonU","Dr. Wendell Lim at UCSF","BostonU",816,3,"816-3","BostonU","UCSF","work"
"collaborated with","ntnu igem",2015,"warwick","Warwick","NTNU iGEM","Warwick",485,7,"485-7","Warwick","NTNU_Trondheim","work"
"collaborated with","uga georgia team",2015,"genspace","Genspace","UGA-Georgia team","Genspace",297,5,"297-5","Genspace","UGA-Georgia","work"
"collaborated with","manchester graz team",2015,"warwick","Warwick","Manchester-Graz team","Warwick",69,10,"69-10","Warwick","Manchester-Graz","work"
"collaborated with","igem aalto",2015,"uniandes colombia","Uniandes Colombia","iGEM Aalto","Uniandes_Colombia",771,9,"771-9","Uniandes_Colombia","Aalto-Helsinki","work"
"collaborated with","ntnu modelling collab",2015,"warwick","Warwick","NTNU Modelling Collab","Warwick",757,9,"757-9","Warwick","NTNU_Trondheim","work"
"collaborated with","ui indonesia",2015,"nagahama","Nagahama","UI-Indonesia","Nagahama",551,1,"551-1","Nagahama","UI_Indonesia","work"
"collaborated with","university of maryland college park",2015,"virginia","Virginia","University of Maryland College Park","Virginia",723,0,"723-0","Virginia","UMaryland","work"
"collaborated with","penn state",2015,"washu stlouis","WashU_StLouis","Penn State","WashU_StLouis",300,1,"300-1","WashU_StLouis","Penn","work"
"collaborated with","eth zurich",2015,"technion hs israel","Technion_HS_Israel","ETH Zurich","Technion_HS_Israel",762,10,"762-10","Technion_HS_Israel","ETH_Zurich","work"
"collaborated with","iit madras",2015,"paris bettencourt","Paris Bettencourt","IIT_Madras","Paris_Bettencourt",422,1,"422-1","Paris_Bettencourt","IIT_Madras","work"
"collaborated with","ui indonesia",2015,"nagahama","Nagahama","UI-Indonesia","Nagahama",33,3,"33-3","Nagahama","UI_Indonesia","work"
"collaborated with","iit madras",2015,"paris bettencourt","Paris_Bettencourt","IIT_Madras","Paris_Bettencourt",109,4,"109-4","Paris_Bettencourt","IIT_Madras","work"
"collaborated with","ntu lihpao taiwan",2015,"hsnu taipei","HSNU-TAIPEI","NTU-LIHPAO-Taiwan","HSNU-TAIPEI",850,5,"850-5","HSNU-TAIPEI","NTU-LIHPAO-Taiwan","work"
"collaborated with","eth zurich",2015,"amoy","Amoy","ETH-Zurich","Amoy",911,7,"911-7","Amoy","ETH_Zurich","work"
"collaborated with","ub indonesia",2015,"itb indonesia","ITB_INDONESIA","UB_Indonesia","ITB_INDONESIA",832,4,"832-4","ITB_INDONESIA","UB_Indonesia","work"
"collaborated with","columbia university",2015,"stanford brown","Stanford-Brown","Columbia University","Stanford-Brown",307,8,"307-8","Stanford-Brown","Columbia_NYC","work"
"collaborated with","eth zurich",2015,"technion hs israel","Technion_HS_Israel","ETH Zurich","Technion_HS_Israel",910,4,"910-4","Technion_HS_Israel","ETH_Zurich","work"
"collaborated with","university of michigan software team",2015,"michigan","Michigan","University of Michigan Software Team","Michigan",843,7,"843-7","Michigan","Michigan_Software","work"
"collaborated with","beijing institute of technology",2015,"bnu china","BNU-CHINA","Beijing Institute of Technology","BNU-CHINA",745,5,"745-5","BNU-CHINA","BIT","work"
"collaborated with","eth zurich",2015,"technion hs israel","Technion_HS_Israel","ETH Zurich","Technion_HS_Israel",180,4,"180-4","Technion_HS_Israel","ETH_Zurich","work"
"collaborated with","eth zurich",2015,"stockholm","Stockholm","ETH Zurich","Stockholm",156,4,"156-4","Stockholm","ETH_Zurich","work"
"collaborated with","eth zurich",2015,"technion hs israel","Technion_HS_Israel","ETH Zurich","Technion_HS_Israel",540,4,"540-4","Technion_HS_Israel","ETH_Zurich","work"
"collaborated with","duke",2015,"oxford","Oxford","Duke","Oxford",330,5,"330-5","Oxford","Duke","work"
"collaborated with","eth zurich",2015,"technion hs israel","Technion_HS_Israel","ETH Zurich","Technion_HS_Israel",216,2,"216-2","Technion_HS_Israel","ETH_Zurich","work"
"collaborated with","beijing institute of technology",2015,"cgu taiwan","CGU Taiwan","Beijing Institute of Technology","CGU_Taiwan",222,4,"222-4","CGU_Taiwan","BIT","work"
"collaborated with","igem berkeley team",2015,"teccem hs","TecCEM HS","iGEM Berkeley Team","TecCEM_HS",511,1,"511-1","TecCEM_HS","Berkeley","work"
"collaborated with","igem berlin",2015,"tu delft","TU_Delft","iGEM Berlin","TU_Delft",618,3,"618-3","TU_Delft","Berlin","work"
"collaborated with","igem bgu alumni polices & practices team",2015,"bgu israel","BGU_Israel","iGEM BGU alumni polices & practices team","BGU_Israel",170,8,"170-8","BGU_Israel","Bielefeld-CeBiTec","work"
"collaborated with","nait edmonton",2015,"tu eindhoven","TU_Eindhoven","NAIT_Edmonton","TU_Eindhoven",221,2,"221-2","TU_Eindhoven","NAIT_Edmonton","work"
"collaborated with","penn state igem 2015",2015,"washu stlouis","WashU StLouis","Penn State iGEM 2015","WashU_StLouis",146,10,"146-10","WashU_StLouis","Penn","work"
"collaborated with","eth zurich 2014",2015,"bit china/modeling","BIT-China/Modeling","ETH Zurich 2014","BIT",718,8,"718-8","BIT-China","ETH_Zurich","work"
"collaborated with","south china university of technology",2015,"sklbc dgsyzx","SKLBC-DGSYZX","South China University of Technology","SKLBC-DGSYZX",34,6,"34-6","SKLBC-DGSYZX","SCUT-China","work"
"collaborated with","ui indonesia",2015,"nagahama","Nagahama","UI-Indonesia","Nagahama",897,4,"897-4","Nagahama","UI_Indonesia","work"
"collaborated with","igem pasteur",2015,"aalto helsinki","Aalto-Helsinki","iGEM Pasteur","Aalto-Helsinki",771,17,"771-17","Aalto-Helsinki","Pasteur_Paris","work"
"collaborated with","nanjing",2015,"virginia","Virginia","Nanjing","Virginia",750,13,"750-13","Virginia","Nanjing-China","work"
"collaborated with","team czech republic",2015,"chalmers gothenburg","Chalmers-Gothenburg","Team Czech Republic","Chalmers-Gothenburg",444,8,"444-8","Chalmers-Gothenburg","Czech_Republic","work"
"collaborated with","igem ucla",2015,"ucl","UCL","iGEM UCLA","UCL",620,7,"620-7","UCL","UCLA","work"
"collaborated with","nanjing igem team",2015,"sjtu biox shanghai","SJTU-BioX-Shanghai","Nanjing iGEM team","SJTU-BioX-Shanghai",984,6,"984-6","SJTU-BioX-Shanghai","Nanjing-China","work"
"collaborated with","ui indonesia",2015,"nagahama","Nagahama","UI-Indonesia","Nagahama",259,7,"259-7","Nagahama","UI_Indonesia","work"
"collaborated with","cgu taiwan",2015,"bit","BIT","CGU-Taiwan","BIT",694,5,"694-5","BIT","CGU_Taiwan","work"
"collaborated with","team ellan vital korea",2015,"korea u seoul","Korea_U_Seoul","Team Ellan Vital Korea","Korea_U_Seoul",469,0,"469-0","Korea_U_Seoul","Elan_Vital_Korea","work"
"collaborated with","ethz",2015,"technion hs israel","Technion_HS_Israel","ETHZ","Technion_HS_Israel",829,8,"829-8","Technion_HS_Israel","ETH_Zurich","work"
"collaborated with","ethz",2015,"technion hs israel","Technion_HS_Israel","ETHZ","Technion_HS_Israel",839,2,"839-2","Technion_HS_Israel","ETH_Zurich","work"
"collaborated with","ethz igem team",2015,"epf lausanne","EPF_Lausanne","ETHZ iGEM team","EPF_Lausanne",695,1,"695-1","EPF_Lausanne","ETH_Zurich","work"
"collaborated with","evry",2015,"technion hs israel","Technion_HS_Israel","Evry","Technion_HS_Israel",459,3,"459-3","Technion_HS_Israel","Evry","work"
"collaborated with","pku beijing",2015,"technion hs israel","Technion_HS_Israel","PKU Beijing","Technion_HS_Israel",584,8,"584-8","Technion_HS_Israel","Peking","work"
"collaborated with","pku beijing",2015,"technion hs israel","Technion_HS_Israel","PKU Beijing","Technion_HS_Israel",239,4,"239-4","Technion_HS_Israel","Peking","work"
"collaborated with","tokyo nokogen",2015,"nagahama","Nagahama","Tokyo-NoKoGen","Nagahama",562,13,"562-13","Nagahama","Tokyo-NoKoGen","work"
"collaborated with","oxford journals",2015,"elan vital korea","Elan_Vital_Korea","Oxford Journals","Elan_Vital_Korea",84,5,"84-5","Elan_Vital_Korea","Oxford","work"
"collaborated with","ucl",2015,"manchester graz","Manchester-Graz","UCL","UCL",625,3,"625-3","Manchester-Graz","UCL","work"
"collaborated with","ui indonesia",2015,"nagahama","Nagahama","UI-Indonesia","Nagahama",928,13,"928-13","Nagahama","UI_Indonesia","work"
"collaborated with","tu darmstat",2015,"unitn trento","UNITN-Trento","TU_Darmstat","UNITN-Trento",338,1,"338-1","UNITN-Trento","TU_Darmstadt","work"
"collaborated with","tu delft",2015,"amsterdam","Amsterdam","TU Delft","Amsterdam",1001,13,"1001-13","Amsterdam","TU_Delft","work"
"collaborated with","igem eplf lausanne",2015,"bordeaux","Bordeaux","iGEM EPLF-Lausanne","Bordeaux",348,5,"348-5","Bordeaux","EPF_Lausanne","work"
"collaborated with","ut tokyo",2015,"nagahama","Nagahama","UT-Tokyo","Nagahama",230,2,"230-2","Nagahama","UT-Tokyo","work"
"collaborated with","igem fau erlangen",2015,"marburg","Marburg","iGEM FAU Erlangen","Marburg",873,10,"873-10","Marburg","FAU_Erlangen","work"
"collaborated with","ut tokyo",2015,"nagahama","Nagahama","UT-Tokyo","Nagahama",259,7,"259-7","Nagahama","UT-Tokyo","work"
"collaborated with","ucl",2015,"oxford","Oxford","UCL","Oxford",131,2,"131-2","Oxford","UCL","work"
"collaborated with","washington university igem advisor",2015,"washu stlouis","WashU StLouis","Washington University IGEM Advisor","WashU_StLouis",658,5,"658-5","WashU_StLouis","Washington","work"
"collaborated with","ut tokyo",2015,"nagahama","Nagahama","UT-Tokyo","Nagahama",466,2,"466-2","Nagahama","UT-Tokyo","work"
"collaborated with","udelft",2015,"technion hs israel","Technion_HS_Israel","UDelft","Technion_HS_Israel",553,4,"553-4","Technion_HS_Israel","TU_Delft","work"
"collaborated with","groningen 2014",2015,"oxford","Oxford","Groningen 2014","Oxford",23,0,"23-0","Oxford","Groningen","work"
"collaborated with","washu stlouis",2015,"washington university igem advisor","Washington University IGEM Advisor","WashU StLouis","WashU_StLouis",658,5,"658-5","Washington","WashU_StLouis","work"
"collaborated with","igem team bielefeld",2015,"aachen","Aachen","iGEM Team Bielefeld","Aachen",607,4,"607-4","Aachen","Bielefeld-CeBiTec","work"
"collaborated with","nankai",2015,"tcu taiwan","TCU Taiwan","Nankai","TCU_Taiwan",608,17,"608-17","TCU_Taiwan","Nankai","work"
"collaborated with","china amoy university",2015,"bgu israel","BGU Israel","China-Amoy university","BGU_Israel",482,1,"482-1","BGU_Israel","Amoy","work"
"collaborated with","tu delft",2015,"groningen","Groningen","TU_Delft","TU_Delft",816,10,"816-10","Groningen","TU_Delft","work"
"collaborated with","tianjin",2015,"amoy","Amoy","Tianjin","Amoy",911,7,"911-7","Amoy","Tianjin","work"
"collaborated with","toulouse",2015,"metu hs ankara team","METU HS Ankara team","Toulouse","Toulouse",759,8,"759-8","METU_HS_Ankara","Toulouse","work"
"collaborated with","sysu china",2015,"amoy","Amoy","SYSU_CHINA","Amoy",911,7,"911-7","Amoy","SYSU_CHINA","work"
"collaborated with","university of edinburgh igem team",2015,"stanford brown","Stanford-Brown","University of Edinburgh iGEM team","Stanford-Brown",759,4,"759-4","Stanford-Brown","Edinburgh","work"
"collaborated with","stockholm",2015,"aalto helsinki","Aalto-Helsinki","Stockholm","Aalto-Helsinki",856,1,"856-1","Aalto-Helsinki","Stockholm","work"
"collaborated with","nyu shanghai",2015,"ouc china","OUC-China","NYU_Shanghai","OUC-China",593,5,"593-5","OUC-China","NYU_Shanghai","work"
"collaborated with","ut tokyo",2015,"nagahama","Nagahama","UT-Tokyo","Nagahama",897,4,"897-4","Nagahama","UT-Tokyo","work"
"collaborated with","stockholm",2015,"amoy","Amoy","Stockholm","Amoy",911,7,"911-7","Amoy","Stockholm","work"
"collaborated with","fau erlangen",2015,"tu darmstadt","TU Darmstadt","FAU Erlangen","TU_Darmstadt",426,2,"426-2","TU_Darmstadt","FAU_Erlangen","work"
"collaborated with","feng zhang group at mit",2015,"bostonu","BostonU","Feng Zhang group at MIT","BostonU",607,0,"607-0","BostonU","MIT","work"
"collaborated with","france aix marseille",2015,"bgu israel","BGU_Israel","France-Aix-Marseille","BGU_Israel",432,7,"432-7","BGU_Israel","Aix-Marseille","work"
"collaborated with","stockholm",2015,"freiburg","Freiburg","Stockholm","Freiburg",174,3,"174-3","Freiburg","Stockholm","work"
"collaborated with","mit",2015,"uga georgia","UGA-Georgia","MIT","UGA-Georgia",560,9,"560-9","UGA-Georgia","MIT","work"
"collaborated with","france team",2015,"hong kong cuhk","Hong_Kong-CUHK","France team","Hong_Kong-CUHK",606,10,"606-10","Hong_Kong-CUHK","Paris_Bettencourt","work"
"collaborated with","uniandes colombia",2015,"nagahama","Nagahama","Uniandes_Colombia","Nagahama",551,1,"551-1","Nagahama","Uniandes_Colombia","work"
"collaborated with","paris bettencourt",2015,"genspace","Genspace","Paris-Bettencourt","Genspace",297,5,"297-5","Genspace","Paris_Bettencourt","work"
"collaborated with","tokyo nokogen",2015,"nagahama","Nagahama","Tokyo-NoKoGen","Nagahama",880,1,"880-1","Nagahama","Tokyo-NoKoGen","work"
"collaborated with","hust china 2013",2015,"hzau china","HZAU-China","HUST-China 2013","HZAU-China",123,2,"123-2","HZAU-China","HUST-China","work"
"collaborated with","lzu china",2015,"tju","TJU","LZU-China","TJU",942,8,"942-8","TJU","LZU-China","work"
"collaborated with","uniandes colombia",2015,"nagahama","Nagahama","Uniandes_Colombia","Nagahama",848,8,"848-8","Nagahama","Uniandes_Colombia","work"
"collaborated with","wellesley igem 2015",2015,"bostonu","BostonU","Wellesley iGEM 2015","BostonU",579,5,"579-5","BostonU","Wellesley_TheTech","work"
"collaborated with","freiburg",2015,"tuebingen","Tuebingen","Freiburg","Tuebingen",353,5,"353-5","Tuebingen","Freiburg","work"
"collaborated with","nyu shanghai",2015,"fudan","Fudan","NYU_Shanghai","Fudan",213,4,"213-4","Fudan","NYU_Shanghai","work"
"collaborated with","uniandes colombia",2015,"nagahama","Nagahama","Uniandes_Colombia","Nagahama",880,1,"880-1","Nagahama","Uniandes_Colombia","work"
"collaborated with","nankai university's igem team",2015,"tianjin","Tianjin","Nankai University's iGEM team","Tianjin",237,11,"237-11","Tianjin","Nankai","work"
"collaborated with","uniandes colombia",2015,"nagahama","Nagahama","Uniandes_Colombia","Nagahama",653,9,"653-9","Nagahama","Uniandes_Colombia","work"
"collaborated with","tianjin university",2015,"lzu china","LZU-China","Tianjin University","LZU-China",853,3,"853-3","LZU-China","Tianjin","work"
"collaborated with","wellesley thetech",2015,"bu","BU","Wellesley_TheTech","Wellesley_TheTech",947,8,"947-8","BostonU","Wellesley_TheTech","work"
"collaborated with","korea u seoul",2015,"lethbridge","Lethbridge","Korea U Seoul","Lethbridge",540,3,"540-3","Lethbridge","Korea_U_Seoul","work"
"collaborated with","team warwick",2015,"ntnu trondheim","NTNU Trondheim","Team Warwick","NTNU_Trondheim",988,9,"988-9","NTNU_Trondheim","Warwick","work"
"collaborated with","tokyo nokogen",2015,"nagahama","Nagahama","Tokyo-NoKoGen","Nagahama",1038,0,"1038-0","Nagahama","Tokyo_NoKoGen","work"
"collaborated with","nefu china",2015,"nagahama","Nagahama","NEFU_China","Nagahama",551,1,"551-1","Nagahama","NEFU_China","work"
"collaborated with","wendell lim  ucsf",2015,"bostonu","BostonU","Wendell Lim, UCSF","BostonU",802,6,"802-6","BostonU","UCSF","work"
"collaborated with","university of la verne igem",2015,"yale","Yale","University of La Verne iGEM","Yale",119,2,"119-2","Yale","LaVerne-Leos","work"
"collaborated with","igem michigan",2015,"heidelberg","Heidelberg","iGEM Michigan","Heidelberg",345,2,"345-2","Heidelberg","Michigan","work"
"collaborated with","darmstadt",2015,"aachen","Aachen","Darmstadt","Aachen",944,14,"944-14","Aachen","TU_Darmstadt","work"
"collaborated with","vanderbilt igem team 2015",2015,"paris bettencourt","Paris_Bettencourt","Vanderbilt iGEM Team 2015","Paris_Bettencourt",694,8,"694-8","Paris_Bettencourt","Vanderbilt","work"
"collaborated with","uniandes colombia",2015,"nagahama","Nagahama","Uniandes_Colombia","Nagahama",845,0,"845-0","Nagahama","Uniandes_Colombia","work"
"collaborated with","timothy lu  mit",2015,"bostonu","BostonU","Timothy Lu, MIT","BostonU",802,6,"802-6","BostonU","MIT","work"
"collaborated with","timothy lu's lab at mit",2015,"uiuc illinois","UIUC Illinois","Timothy Lu's lab at MIT","UIUC_Illinois",92,1,"92-1","UIUC_Illinois","MIT","work"
"collaborated with","vanderbilt university",2015,"uga georgia","UGA-Georgia","Vanderbilt University","UGA-Georgia",164,2,"164-2","UGA-Georgia","Vanderbilt","work"
"collaborated with","uniandes colombia",2015,"nagahama","Nagahama","Uniandes_Colombia","Nagahama",466,2,"466-2","Nagahama","Uniandes_Colombia","work"
"collaborated with","stockholm igem team",2015,"uppsala","Uppsala","Stockholm iGEM team","Uppsala",402,5,"402-5","Uppsala","Stockholm","work"
"collaborated with","uniandes colombia",2015,"nagahama","Nagahama","Uniandes_Colombia","Nagahama",564,16,"564-16","Nagahama","Uniandes_Colombia","work"
"collaborated with","manchester",2015,"exeter","Exeter","Manchester","Exeter",980,0,"980-0","Exeter","Manchester-Graz","work"
"collaborated with","stockholm igem team",2015,"uppsala","Uppsala","Stockholm iGEM team","Uppsala",759,9,"759-9","Uppsala","Stockholm","work"
"collaborated with","szu",2015,"lzu china","LZU-China","SZU","LZU-China",635,2,"635-2","LZU-China","SZU_China","work"
"collaborated with","vilnius",2015,"toulouse","Toulouse","Vilnius","Toulouse",485,3,"485-3","Toulouse","Vilnius-Lithuania","work"
"collaborated with","peking university",2015,"amoy","Amoy","Peking University","Amoy",735,9,"735-9","Amoy","Peking","work"
"collaborated with","university of lethbridge collegiate igem team",2015,"lethbridge hs","Lethbridge HS","University of Lethbridge Collegiate iGEM team","Lethbridge",207,0,"207-0","Lethbridge_HS","Lethbridge","work"
"collaborated with","tokyo nokogen",2015,"nagahama","Nagahama","Tokyo-NoKoGen","Nagahama",336,1,"336-1","Nagahama","Tokyo_NoKoGen","work"
"collaborated with","dr. james liao at ucla",2015,"bostonu","BostonU","Dr. James Liao at UCLA","BostonU",816,3,"816-3","BostonU","UCLA","work"
"collaborated with","uga georgia igem",2015,"william and mary","William_and_Mary","UGA-Georgia iGEM","William_and_Mary",906,4,"906-4","William_and_Mary","UGA-Georgia","work"
"collaborated with","trinity igem team",2015,"ucsf","UCSF","Trinity iGEM team","UCSF",150,0,"150-0","UCSF","TrinityCollegeDublin","work"
"collaborated with","paris saclay",2015,"nagahama","Nagahama","Paris-Saclay","Nagahama",845,0,"845-0","Nagahama","Paris_Saclay","work"
"collaborated with","zhejiang university",2015,"hangzhou h14z","Hangzhou-H14Z","Zhejiang University","Hangzhou-H14Z",85,11,"85-11","Hangzhou-H14Z","ZJU-China","work"
"collaborated with","stony brook university",2015,"uc davis","UC_Davis","Stony Brook University","UC_Davis",248,2,"248-2","UC_Davis","Stony_Brook","work"
"collaborated with","unik copenhagen",2015,"dtu denmark","DTU-Denmark","UNIK Copenhagen","DTU-Denmark",639,5,"639-5","DTU-Denmark","UNIK_Copenhagen","work"
"collaborated with","university of british columbia 2015",2015,"northeastern boston","Northeastern Boston","University of British Columbia 2015","Northeastern_Boston",531,5,"531-5","Northeastern_Boston","British_Columbia","work"
"collaborated with","cornell 2012",2015,"uniandes colombia","Uniandes Colombia","Cornell 2012","Uniandes_Colombia",554,4,"554-4","Uniandes_Colombia","Cornell","work"
"collaborated with","genspace",2015,"uga georgia","UGA-Georgia","GenSpace","UGA-Georgia",560,9,"560-9","UGA-Georgia","Genspace","work"
"collaborated with","tokyo tech",2015,"nagahama","Nagahama","Tokyo_Tech","Nagahama",564,16,"564-16","Nagahama","Tokyo_Tech","work"
"collaborated with","birkbeck college",2015,"ucl","UCL","Birkbeck College","UCL",274,9,"274-9","UCL","Birkbeck","work"
"collaborated with","tju",2015,"bit china","BIT-CHINA","TJU","BIT",809,4,"809-4","BIT-China","TJU","work"
"collaborated with","paris saclay",2015,"nagahama","Nagahama","Paris-Saclay","Nagahama",880,1,"880-1","Nagahama","Paris_Saclay","work"
"collaborated with","ouc china",2015,"hfut china","HFUT-China","OUC-China","HFUT-China",794,11,"794-11","HFUT-China","OUC-China","work"
"collaborated with","tju",2015,"lzu china","LZU-China","TJU","LZU-China",635,2,"635-2","LZU-China","TJU","work"
"collaborated with","scu china",2015,"ustc","USTC","SCU-China","USTC",139,0,"139-0","USTC","SCU_China","work"
"collaborated with","paris saclay",2015,"nagahama","Nagahama","Paris-Saclay","Nagahama",653,9,"653-9","Nagahama","Paris_Saclay","work"
"collaborated with","paris saclay",2015,"nagahama","Nagahama","Paris-Saclay","Nagahama",897,4,"897-4","Nagahama","Paris_Saclay","work"
"collaborated with","ustc software",2015,"ustc","USTC","USTC-Software","USTC",8,5,"8-5","USTC","USTC-Software","work"
"collaborated with","ouc china",2015,"amoy","Amoy","OUC-China","Amoy",911,7,"911-7","Amoy","OUC-China","work"
"collaborated with","tju",2015,"lzu china","LZU-China","TJU","LZU-China",875,6,"875-6","LZU-China","TJU","work"
"collaborated with","georgia tech igem team",2015,"georgia state","Georgia State","Georgia Tech iGEM team","Georgia_State",333,0,"333-0","Georgia_State","GeorgiaTech","work"
"collaborated with","georgia tech igem team",2015,"georgia state","Georgia State","Georgia Tech iGEM team","Georgia_State",92,14,"92-14","Georgia_State","GeorgiaTech","work"
"collaborated with","aachen",2015,"slovenia hs","Slovenia_HS","Aachen","Slovenia_HS",783,3,"783-3","Slovenia_HS","Aachen","work"
"collaborated with","warwick",2015,"oxford igem","Oxford iGEM","Warwick","Warwick",485,7,"485-7","Oxford","Warwick","work"
"collaborated with","oxford",2015,"amoy","Amoy","Oxford","Amoy",911,7,"911-7","Amoy","Oxford","work"
"collaborated with","bit",2015,"ustc","USTC","BIT","USTC",564,8,"564-8","USTC","BIT","work"
"collaborated with","svce chennai",2015,"paris bettencourt","Paris Bettencourt","SVCE_Chennai","Paris_Bettencourt",422,1,"422-1","Paris_Bettencourt","SVCE_Chennai","work"
"collaborated with","bit",2015,"bit china","BIT-China","BIT","BIT-China",342,5,"342-5","BIT-China","BIT","work"
"collaborated with","svce chennai",2015,"paris bettencourt","Paris_Bettencourt","SVCE_Chennai","Paris_Bettencourt",344,7,"344-7","Paris_Bettencourt","SVCE_Chennai","work"
"collaborated with","swiss federal institute for environmental science and technology",2015,"cu boulder","CU Boulder","Swiss Federal Institute for Environmental Science and Technology","CU_Boulder",990,6,"990-6","CU_Boulder","ETH_Zurich","work"
"collaborated with","swiss federal institute of technology zurich ethz",2015,"epf lausanne","EPF_Lausanne","Swiss Federal Institute of Technology Zurich ETHZ","EPF_Lausanne",760,4,"760-4","EPF_Lausanne","ETH_Zurich","work"
"collaborated with","glasgow igem team",2015,"cambridge jic","Cambridge-JIC","Glasgow iGEM Team","Cambridge-JIC",270,11,"270-11","Cambridge-JIC","Glasgow","work"
"collaborated with","tju",2015,"bit china","BIT-China","TJU","BIT-China",744,8,"744-8","BIT-China","TJU","work"
"collaborated with","warwick igem",2015,"oxford igem","Oxford iGEM","Warwick iGEM","Oxford",500,5,"500-5","Oxford","Warwick","work"
"collaborated with","paris saclay",2015,"pasteur paris","Pasteur Paris","Paris_Saclay","Pasteur_Paris",936,10,"936-10","Pasteur_Paris","Paris_Saclay","work"
"collaborated with","uchile openbio",2015,"liceo eugenio hostos","Liceo Eugenio Hostos","UChile-OpenBio","Liceo_Eugenio_Hostos",653,1,"653-1","Liceo_Eugenio_Hostos","UChile-OpenBio","work"
"collaborated with","nudt china",2015,"nju china","NJU-China","NUDT_China","NJU-China",615,0,"615-0","NJU-China","NUDT_CHINA","work"
"collaborated with","ionis igem team",2015,"paris saclay","Paris-Saclay","Ionis iGEM team","Paris_Saclay",1003,2,"1003-2","Paris_Saclay","Paris_Bettencourt","work"
"collaborated with","wpi igem",2015,"biosint mexico","BIOSINT Mexico","WPI iGEM","BIOSINT_Mexico",926,4,"926-4","BIOSINT_Mexico","WPI-Worcester","work"
"collaborated with","ucl",2015,"cork ireland","Cork_Ireland","UCL","Cork_Ireland",50,3,"50-3","Cork_Ireland","UCL","work"
"collaborated with","nefu china",2015,"nagahama","Nagahama","NEFU_China","Nagahama",714,1,"714-1","Nagahama","NEFU_China","work"
"collaborated with","paris saclay",2015,"nagahama","Nagahama","Paris-Saclay","Nagahama",551,1,"551-1","Nagahama","Paris_Saclay","work"
