Donor,(Donor) Country,(Donor) Continent,(Donor) Medal Colour,(Donor) Team size - Student Members,(Donor) Team size - Auxilliary Members,Recipient,Special Award(s)? (Yes/No),Name of Special Awards
NUDT_CHINA,China,Asia,Gold,11,6,NJU-China,Yes,"Nominated for Best Part Collection, Undergrad"
NUDT_CHINA,China,Asia,Gold,11,6,USTC-software,Yes,
NYU_Shanghai,China,Asia,Silver,13,1,China_Tongji,Yes,
NYU_Shanghai,China,Asia,Silver,13,1,ITB_INDONESIA,Yes,
NYU_Shanghai,China,Asia,Silver,13,1,NCTU_Formosa,Yes,
NYU_Shanghai,China,Asia,Silver,13,1,OUC-China,Yes,
NYU_Shanghai,China,Asia,Silver,13,1,Peking,Yes,
NYU_Shanghai,China,Asia,Silver,13,1,SJTU-BioX-Shanghai,Yes,
NYU_Shanghai,China,Asia,Silver,13,1,XJTLU-CHINA,Yes,"Nominate for Best Poster, Undergrad"
OLS_Canmore_AB_CA,Canada,North America,Bronze,8,2,Consort_Alberta,Yes,"Nominated for Best Education and Public Engagement, High School"
OLS_Canmore_AB_CA,Canada,North America,Bronze,8,2,Sheffield (2014),Yes,"Nominated for Best Presentation, High School"
OLS_Canmore_AB_CA,Canada,North America,Bronze,8,2,UChicago,Yes,"Nominated for Best Integrated Human Practices, High School"
OUC-China,China,Asia,Silver,11,6,Berlin,No,
OUC-China,China,Asia,Silver,11,6,HFUT-CHINA,No,
OUC-China,China,Asia,Silver,11,6,NYU_Shanghai,No,
OUC-China,China,Asia,Silver,11,6,Peking,No,
Oxford,England,Europe,Gold,14,6,Bordeaux,Yes,"Nominated for Best Health and Medicine Project (Undergrad), Nominated for Best Model (Undergrad), Nominated for Best Wiki (Undergrad), Nominated for Best Presentation (Undergrad), Nominated for Best New Basic Part (Undergrad)"
Oxford,England,Europe,Gold,14,6,ITB_INDONESIA,Yes,"Nominated for Best Health and Medicine Project (Undergrad), Nominated for Best Model (Undergrad), Nominated for Best Wiki (Undergrad), Nominated for Best Presentation (Undergrad), Nominated for Best New Basic Part (Undergrad)"
Oxford,England,Europe,Gold,14,6,NCTU_Formosa,Yes,"Nominated for Best Health and Medicine Project (Undergrad), Nominated for Best Model (Undergrad), Nominated for Best Wiki (Undergrad), Nominated for Best Presentation (Undergrad), Nominated for Best New Basic Part (Undergrad)"
Oxford,England,Europe,Gold,14,6,TrinityCollegeDublin,Yes,"Nominated for Best Health and Medicine Project (Undergrad), Nominated for Best Model (Undergrad), Nominated for Best Wiki (Undergrad), Nominated for Best Presentation (Undergrad), Nominated for Best New Basic Part (Undergrad)"
Oxford,England,Europe,Gold,14,6,UCL,Yes,"Nominated for Best Health and Medicine Project (Undergrad), Nominated for Best Model (Undergrad), Nominated for Best Wiki (Undergrad), Nominated for Best Presentation (Undergrad), Nominated for Best New Basic Part (Undergrad)"
Oxford,England,Europe,Gold,14,6,Warwick,Yes,"Nominated for Best Health and Medicine Project (Undergrad), Nominated for Best Model (Undergrad), Nominated for Best Wiki (Undergrad), Nominated for Best Presentation (Undergrad), Nominated for Best New Basic Part (Undergrad)"
Oxford,England,Europe,Gold,14,6,Westminster,Yes,"Nominated for Best Health and Medicine Project (Undergrad), Nominated for Best Model (Undergrad), Nominated for Best Wiki (Undergrad), Nominated for Best Presentation (Undergrad), Nominated for Best New Basic Part (Undergrad)"
Paris_Bettencourt,France,Europe,Gold,15,5,Evry,Yes,"Nominated for Best Food and Nutrition Project, Nominated for Best Integrated Human Practices (Overgrad), Nominated for Best Presentation (Overgrad)"
Paris_Bettencourt,France,Europe,Gold,15,5,IISER_Pune,Yes,"Nominated for Best Food and Nutrition Project, Nominated for Best Integrated Human Practices (Overgrad), Nominated for Best Presentation (Overgrad)"
Paris_Bettencourt,France,Europe,Gold,15,5,IIT_Delhi,Yes,"Nominated for Best Food and Nutrition Project, Nominated for Best Integrated Human Practices (Overgrad), Nominated for Best Presentation (Overgrad)"
Paris_Bettencourt,France,Europe,Gold,15,5,IIT_Kharagpur,Yes,"Nominated for Best Food and Nutrition Project, Nominated for Best Integrated Human Practices (Overgrad), Nominated for Best Presentation (Overgrad)"
Paris_Bettencourt,France,Europe,Gold,15,5,IIT_Madras,Yes,"Nominated for Best Food and Nutrition Project, Nominated for Best Integrated Human Practices (Overgrad), Nominated for Best Presentation (Overgrad)"
Paris_Bettencourt,France,Europe,Gold,15,5,London_BioHackSpace,Yes,"Nominated for Best Food and Nutrition Project, Nominated for Best Integrated Human Practices (Overgrad), Nominated for Best Presentation (Overgrad)"
Paris_Bettencourt,France,Europe,Gold,15,5,NAIT_Edmonton,Yes,"Nominated for Best Food and Nutrition Project, Nominated for Best Integrated Human Practices (Overgrad), Nominated for Best Presentation (Overgrad)"
Paris_Bettencourt,France,Europe,Gold,15,5,SVCE_Chennai,Yes,"Nominated for Best Food and Nutrition Project, Nominated for Best Integrated Human Practices (Overgrad), Nominated for Best Presentation (Overgrad)"
Paris_Bettencourt,France,Europe,Gold,15,5,UCL,Yes,"Nominated for Best Food and Nutrition Project, Nominated for Best Integrated Human Practices (Overgrad), Nominated for Best Presentation (Overgrad)"
Paris_Saclay,France,Europe,Bronze,7,8,Bordeaux,No,
Paris_Saclay,France,Europe,Bronze,7,8,Korea_U_Seoul,No,
Paris_Saclay,France,Europe,Bronze,7,8,Nankai,No,
Paris_Saclay,France,Europe,Bronze,7,8,Paris_Bettencourt,No,
Paris_Saclay,France,Europe,Bronze,7,8,Tec-Monterrey,No,
Pasteur_Paris,France,Europe,Bronze,11,11,Aalto-Helsinki,No,
Pasteur_Paris,France,Europe,Bronze,11,11,BIOSINT_Mexico,No,
Pasteur_Paris,France,Europe,Bronze,11,11,Bordeaux,No,
Pasteur_Paris,France,Europe,Bronze,11,11,EPF_Lausanne,No,
Pasteur_Paris,France,Europe,Bronze,11,11,Evry,No,
Pasteur_Paris,France,Europe,Bronze,11,11,IONIS_Paris,No,
Pasteur_Paris,France,Europe,Bronze,11,11,KU_Leuven,No,
Pasteur_Paris,France,Europe,Bronze,11,11,Paris_Bettencourt,No,
Pasteur_Paris,France,Europe,Bronze,11,11,Paris_Saclay,No,
Pasteur_Paris,France,Europe,Bronze,11,11,Stockholm,No,
Pasteur_Paris,France,Europe,Bronze,11,11,Toulouse,No,
Pasteur_Paris,France,Europe,Bronze,11,11,TU_Eindhoven,No,
Peking,China,Asia,Gold,14,3,OUC-China,Yes,"Nominated for Best Poster, Undergrad; Best Education and Public Engagement, High School"
Peking,China,Asia,Gold,14,3,ZJU-China,Yes,"Nominated for Best Health and Medicine Project, Undergrad; Best New Composite Part, Undergrad"
Rock_Ridge_Virginia,United States of America,North America,Bronze,18,1,BroadRun-NorthernVA,No,
Rock_Ridge_Virginia,United States of America,North America,Bronze,18,1,UMaryland,No,
Rock_Ridge_Virginia,United States of America,North America,Bronze,18,1,Virginia,No,
San_Andres,Chile,Latin America,Bronze,6,2,Colegio_EmelinaU,No,
San_Andres,Chile,Latin America,Bronze,6,2,Liceo_Eugenio_Hostos,No,
San_Andres,Chile,Latin America,Bronze,6,2,UChile-OpenBio,No,
SCU_China,China,Asia,Silver,16,4,XJTLU-CHINA,No,
SCUT,China,Asia,Silver,25,12,FAFU-CHINA,No,
Scut-Champion-Park,China,Asia,Bronze,15,7,Shenzhen_SFLS,No,
SDU-Denmark,Denmark,Europe,Gold,9,4,DTU-Denmark,Yes,Nominated for Best Manufacturing Project (Overgrad)
SDU-Denmark,Denmark,Europe,Gold,9,4,Uppsala,Yes,Nominated for Best Manufacturing Project (Overgrad)
SDU-Denmark,Denmark,Europe,Gold,9,4,Vilnius-Lithuania,Yes,Nominated for Best Manufacturing Project (Overgrad)
Shenzhen_SFLS,China,Asia,Silver,19,2,SZMS_15_Shenzhen,Yes,"Nominated for Best Poster, Highschool"
Shiyan_SY_China,China,Asia,Bronze,9,4,LZU-China,Yes,"Best Education and Public Engagement, High School"
SJTU-BioX-Shanghai,China,Asia,Gold,14,7,Nanjing-CHINA,No,
SJTU-Software,China,Asia,Gold,15,2,Amoy,No,
SJTU-Software,China,Asia,Gold,15,2,NCTU_Formosa,No,
SJTU-Software,China,Asia,Gold,15,2,SJTU-BioX-Shanghai,No,
SJTU-Software,China,Asia,Gold,15,2,SYSU_CHINA,No,
SKLBC-China,China,Asia,,9,3,SCUT-China,No,
SKLBC-China,China,Asia,,9,3,TJU,No,
Slovenia_HS,Slovenia,Europe,Gold,8,4,Aachen,Yes,"Nominated for Best Integrated Human Practices (High School), Nominated for Best Wiki (High School), Nominated for Best Presentation (High School), Nominated for Best High School Project"
Slovenia_HS,Slovenia,Europe,Gold,8,4,Aalto-Helsinki,Yes,"Nominated for Best Integrated Human Practices (High School), Nominated for Best Wiki (High School), Nominated for Best Presentation (High School), Nominated for Best High School Project"
Stanford-Brown,United States of America,North America,Gold,11,10,Edinburgh,Yes,"Best Manufacturing Project, Undergrad"
Stockholm,Sweden,Europe,Gold,18,0,Aalto-Helsinki,Yes,Nominated for Best Health and Medicine Project (Overgrad)
Stockholm,Sweden,Europe,Gold,18,0,BGU_Israel,Yes,Nominated for Best Health and Medicine Project (Overgrad)
Stockholm,Sweden,Europe,Gold,18,0,CGU_Taiwan,Yes,Nominated for Best Health and Medicine Project (Overgrad)
Stockholm,Sweden,Europe,Gold,18,0,ETH_Zurich,Yes,Nominated for Best Health and Medicine Project (Overgrad)
Stockholm,Sweden,Europe,Gold,18,0,Freiburg,Yes,Nominated for Best Health and Medicine Project (Overgrad)
Stockholm,Sweden,Europe,Gold,18,0,Pasteur_Paris,Yes,Nominated for Best Health and Medicine Project (Overgrad)
Stockholm,Sweden,Europe,Gold,18,0,TU_Eindhoven,Yes,Nominated for Best Health and Medicine Project (Overgrad)
Stony_Brook,United States of America,North America,Silver,14,8,UGA-Georgia,No,
SVA-NYC,United States of America,North America,Gold,8,6,Genspace,Yes,"Nominated for Best Integrated Human Practices, Overgrad"
SVA-NYC,United States of America,North America,Gold,8,6,HKUST-Rice,Yes,Best Art and Design Project
SVCE_Chennai,India,Asia,Bronze,18,4,Aachen,No,
SVCE_Chennai,India,Asia,Bronze,18,4,Paris_Bettencourt,No,
SVCE_Chennai,India,Asia,Bronze,18,4,Uppsala,No,
Sydney_Australia,Australia,Asia,Gold,6,1,Glasgow,Yes,"Nominated for Best Integrated Human Practices, Undergrad"
Sydney_Australia,Australia,Asia,Gold,6,1,TU_Eindhoven,Yes,
Sydney_Australia,Australia,Asia,Gold,6,1,UNIK_Copenhagen,Yes,"Nominated for Best Model, Undergrad"
Sydney_Australia,Australia,Asia,Gold,6,1,Uppsala,Yes,
Sydney_Australia,Australia,Asia,Gold,6,1,WashU_StLouis,Yes,"Nominated for Best Education and Public Engagement, Undergrad"
SYSU_CHINA,China,Asia,Gold,17,3,SJTU-Software,No,
SYSU_CHINA,China,Asia,Gold,17,3,Tianjin,No,
SYSU_CHINA,China,Asia,Gold,17,3,ZJU-China,No,
SYSU-Software,China,Asia,Gold,21,10,NJU-China,Yes,Best Software Project
SYSU-Software,China,Asia,Gold,21,10,SKLBC-China,Yes,
SYSU-Software,China,Asia,Gold,21,10,SKLBC-DGSYZX,Yes,
SYSU-Software,China,Asia,Gold,21,10,SYSU_CHINA,Yes,
SZMS_15_Shenzhen,China,Asia,Bronze,14,2,Shenzhen_SFLS,No,
SZU_China,China,Asia,Gold,16,7,LZU-China,No,
SZU_China,China,Asia,Gold,16,7,Nankai,No,
TAS_Taipei,Taiwan,Asia,Gold,16,4,NYMU-Taipei,Yes,"Finalist, High School; Grand Prize Winner, High School; Nominated for Best Education and Public Engagement, Undergrad; Best Wiki, High School; Nominated for Best Poster, High School; Nominated for Best Presentation, High School; Nominated for Best New Composite Part, High School; Best High School Project"
TCU_Taiwan,Taiwan,Asia,Silver,13,22,Aix-Marseille,No,
TCU_Taiwan,Taiwan,Asia,Silver,13,22,CGU_Taiwan,No,
TCU_Taiwan,Taiwan,Asia,Silver,13,22,Nankai,No,
TCU_Taiwan,Taiwan,Asia,Silver,13,22,Paris_Saclay,No,
TecCEM,Mexico,Latin America,Silver,16,5,TecCEM_HS,No,
TecCEM_HS,Mexico,Latin America,Gold,11,7,Groningen,No,
TecCEM_HS,Mexico,Latin America,Gold,11,7,TecCEM,No,
Tec-Chihuahua,Mexico,Latin America,,9,2,Aix-Marseille,No,
Technion_HS_Israel,Israel,Asia,Silver,12,6,Danzi_Kesh_8,Yes,"Best Model, High School"
Technion_Israel,Israel,Europe,Gold,10,8,BGU_Israel,Yes,"Best New Application Project (Overgrad), Nominated for Best Applied Design (Overgrad), Nominated for Best Presentation (Overgrad), Nominated for Best New Basic Part (Overgrad)"
Technion_Israel,Israel,Europe,Gold,10,8,Danzi_Kesh_8,Yes,"Best New Application Project (Overgrad), Nominated for Best Applied Design (Overgrad), Nominated for Best Presentation (Overgrad), Nominated for Best New Basic Part (Overgrad)"
Technion_Israel,Israel,Europe,Gold,10,8,Technion_HS_Israel,Yes,"Best New Application Project (Overgrad), Nominated for Best Applied Design (Overgrad), Nominated for Best Presentation (Overgrad), Nominated for Best New Basic Part (Overgrad)"
Tec-Monterrey,Mexico,Latin America,Silver,24,6,Amoy,No,
Tec-Monterrey,Mexico,Latin America,Silver,24,6,BIOSINT_Mexico,No,
Tec-Monterrey,Mexico,Latin America,Silver,24,6,Paris_Saclay,No,
Tec-Monterrey,Mexico,Latin America,Silver,24,6,Tec-Chihuahua,No,
Tianjin,China,Asia,Gold,22,2,Nankai,Yes,"Nominated for best new composite part, undergrad"
Tianjin,China,Asia,Gold,22,2,Tsinghua-A,Yes,"Best new application project, undergrad; Best new basic part, undergrad"
TJU,China,Asia,Gold,20,3,BIT-China,Yes,
TJU,China,Asia,Gold,20,3,LZU-China,Yes,Best energy project
Tokyo_Tech,Japan,Asia,Gold,14,4,LZU-China,Yes,"Nominated for best part collection, undergrad"
Tokyo_Tech,Japan,Asia,Gold,14,4,Nagahama,Yes,Nominated for best information processing project
Tokyo-NoKoGen,Japan,Asia,Bronze,11,6,UI_Indonesia,No,
Toronto,Canada,North America,Silver,22,6,Oxford,Yes,Nominated for Best Applied Design (Overgrad)
Toronto,Canada,North America,Silver,22,6,Waterloo,Yes,Nominated for Best Applied Design (Overgrad)
Toulouse,France,Europe,Gold,10,3,CGU_Taiwan,Yes,Nominated for Best Applied Design (Undergrad)
Toulouse,France,Europe,Gold,10,3,KU_Leuven,Yes,Nominated for Best Applied Design (Undergrad)
Toulouse,France,Europe,Gold,10,3,METU_HS_Ankara,Yes,Nominated for Best Applied Design (Undergrad)
Toulouse,France,Europe,Gold,10,3,TU_Eindhoven,Yes,Nominated for Best Applied Design (Undergrad)
TP_CC-SanDiego,United States of America,North America,Bronze,14,0,UC_San_Diego,Yes,Nominated for Best Poster (High School)
Tsinghua,China,Asia,Gold,10,4,SJTU-Software,No,
Tsinghua,China,Asia,Gold,10,4,SYSU_CHINA,No,
Tsinghua,China,Asia,Gold,10,4,Tsinghua-A,No,
Tsinghua-A,China,Asia,Bronze,8,4,Tianjin,No,
Tsinghua-A,China,Asia,Bronze,8,4,Tsinghua,No,
TU_Darmstadt,Germany,Europe,Gold,42,4,Aachen,Yes,"Nominated for Best Applied Design (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Darmstadt,Germany,Europe,Gold,42,4,Aachen,Yes,"Nominated for Best Applied Design (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Darmstadt,Germany,Europe,Gold,42,4,Aix-Marseille,Yes,"Nominated for Best Applied Design (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Darmstadt,Germany,Europe,Gold,42,4,ETH_Zurich,Yes,"Nominated for Best Applied Design (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Darmstadt,Germany,Europe,Gold,42,4,FAU_Erlangen,Yes,"Nominated for Best Applied Design (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Darmstadt,Germany,Europe,Gold,42,4,NTNU_Trondheim,Yes,"Nominated for Best Applied Design (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Darmstadt,Germany,Europe,Gold,42,4,Tuebingen,Yes,"Nominated for Best Applied Design (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Darmstadt,Germany,Europe,Gold,42,4,Uniandes_Colombia,Yes,"Nominated for Best Applied Design (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Darmstadt,Germany,Europe,Gold,42,4,UNITN-Trento,Yes,"Nominated for Best Applied Design (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Delft,Netherlands,Europe,Gold,9,5,Aalto-Helsinki,Yes,"Finalist (Overgrad), Grand Prize Winner (Overgrad), Best Hardware Project, Best Applied Design (Overgrad), Best Wiki (Overgrad), Nominated for Best Model (High School), Nominated for Best Model (Overgrad), Nominated for Best Inegrated Human Practices (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Delft,Netherlands,Europe,Gold,9,5,Aix-Marseille,Yes,"Finalist (Overgrad), Grand Prize Winner (Overgrad), Best Hardware Project, Best Applied Design (Overgrad), Best Wiki (Overgrad), Nominated for Best Model (High School), Nominated for Best Model (Overgrad), Nominated for Best Inegrated Human Practices (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Delft,Netherlands,Europe,Gold,9,5,Groningen,Yes,"Finalist (Overgrad), Grand Prize Winner (Overgrad), Best Hardware Project, Best Applied Design (Overgrad), Best Wiki (Overgrad), Nominated for Best Model (High School), Nominated for Best Model (Overgrad), Nominated for Best Inegrated Human Practices (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Delft,Netherlands,Europe,Gold,9,5,NCTU_Formosa,Yes,"Finalist (Overgrad), Grand Prize Winner (Overgrad), Best Hardware Project, Best Applied Design (Overgrad), Best Wiki (Overgrad), Nominated for Best Model (High School), Nominated for Best Model (Overgrad), Nominated for Best Inegrated Human Practices (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Delft,Netherlands,Europe,Gold,9,5,Oxford,Yes,"Finalist (Overgrad), Grand Prize Winner (Overgrad), Best Hardware Project, Best Applied Design (Overgrad), Best Wiki (Overgrad), Nominated for Best Model (High School), Nominated for Best Model (Overgrad), Nominated for Best Inegrated Human Practices (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Delft,Netherlands,Europe,Gold,9,5,TU_Eindhoven,Yes,"Finalist (Overgrad), Grand Prize Winner (Overgrad), Best Hardware Project, Best Applied Design (Overgrad), Best Wiki (Overgrad), Nominated for Best Model (High School), Nominated for Best Model (Overgrad), Nominated for Best Inegrated Human Practices (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
TU_Dresden,Germany,Europe,Bronze,13,0,Paris_Saclay,No,
TU_Eindhoven,Netherlands,Europe,Gold,11,3,ETH_Zurich,Yes,"Best Innovation in Measurement (Undergrad), Nominated for Best New Application Project (Undergrad), Nominated for Best Education and Public Engagement (Undergrad)"
TU_Eindhoven,Netherlands,Europe,Gold,11,3,Kent,Yes,"Best Innovation in Measurement (Undergrad), Nominated for Best New Application Project (Undergrad), Nominated for Best Education and Public Engagement (Undergrad)"
TU_Eindhoven,Netherlands,Europe,Gold,11,3,TU_Darmstadt,Yes,"Best Innovation in Measurement (Undergrad), Nominated for Best New Application Project (Undergrad), Nominated for Best Education and Public Engagement (Undergrad)"
TU_Eindhoven,Netherlands,Europe,Gold,11,3,UIUC_Illinois,Yes,"Best Innovation in Measurement (Undergrad), Nominated for Best New Application Project (Undergrad), Nominated for Best Education and Public Engagement (Undergrad)"
Tufts,United States of America,North America,Bronze,18,3,BostonU,No,
Tufts,United States of America,North America,Bronze,18,3,UMass-Dartmouth,No,
UAM_Poznan,Poland,Europe,Silver,9,2,Aix-Marseille,No,
UAM_Poznan,Poland,Europe,Silver,9,2,Paris_Bettencourt,No,
UC_San_Diego,United States of America,North America,,6,4,LaVerne-Leos,No,
UC_San_Diego,United States of America,North America,,6,4,TP_CC-SanDiego,No,
UC_San_Diego,United States of America,North America,,6,4,UCLA,No,
UChicago,United States of America,North America,Silver,6,0,OLS_Canmore_AB_CA,No,
UChile-OpenBio,Chile,Latin America,,11,3,Colegio_EmelinaU,No,
UChile-OpenBio,Chile,Latin America,,11,3,Korea_U_Seoul,No,
UChile-OpenBio,Chile,Latin America,,11,3,Liceo_Eugenio_Hostos,No,
UChile-OpenBio,Chile,Latin America,,11,3,Nankai,No,
UChile-OpenBio,Chile,Latin America,,11,3,San_Andres,No,
UChile-OpenBio,Chile,Latin America,,11,3,Stockholm,No,
UChile-OpenBio,Chile,Latin America,,11,3,TecCEM_HS,No,
UCL,England,Europe,Gold,11,0,Aalto-Helsinki,Yes,"Best Supporting Entrepreneurship (Overgrad), Nominated for Best New Composite Part (Overgrad)"
UCL,England,Europe,Gold,11,0,BABS_UNSW_Australia,Yes,"Best Supporting Entrepreneurship (Overgrad), Nominated for Best New Composite Part (Overgrad)"
UCL,England,Europe,Gold,11,0,Birkbeck,Yes,"Best Supporting Entrepreneurship (Overgrad), Nominated for Best New Composite Part (Overgrad)"
UCL,England,Europe,Gold,11,0,Bordeaux,Yes,"Best Supporting Entrepreneurship (Overgrad), Nominated for Best New Composite Part (Overgrad)"
UCL,England,Europe,Gold,11,0,Brasil-USP,Yes,"Best Supporting Entrepreneurship (Overgrad), Nominated for Best New Composite Part (Overgrad)"
UCL,England,Europe,Gold,11,0,London_Biohackspace,Yes,"Best Supporting Entrepreneurship (Overgrad), Nominated for Best New Composite Part (Overgrad)"
UCL,England,Europe,Gold,11,0,Macquarie_Australia,Yes,"Best Supporting Entrepreneurship (Overgrad), Nominated for Best New Composite Part (Overgrad)"
UCL,England,Europe,Gold,11,0,Oxford,Yes,"Best Supporting Entrepreneurship (Overgrad), Nominated for Best New Composite Part (Overgrad)"
UCL,England,Europe,Gold,11,0,Paris_Bettencourt,Yes,"Best Supporting Entrepreneurship (Overgrad), Nominated for Best New Composite Part (Overgrad)"
UCLA,United States of America,North America,Gold,16,1,LaVerne-Leos,Yes,"Nominated for Best Manufacturing Project (Undergrad), Nominated for Best New Basic Part (Undergrad), Nominated for Best Part Collection (Undergrad)"
UCLA,United States of America,North America,Gold,16,1,TEcCEM,Yes,"Nominated for Best Manufacturing Project (Undergrad), Nominated for Best New Basic Part (Undergrad), Nominated for Best Part Collection (Undergrad)"
UCLA,United States of America,North America,Gold,16,1,TU_Eindhoven,Yes,"Nominated for Best Manufacturing Project (Undergrad), Nominated for Best New Basic Part (Undergrad), Nominated for Best Part Collection (Undergrad)"
UCLA,United States of America,North America,Gold,16,1,UC_San_Diego,Yes,"Nominated for Best Manufacturing Project (Undergrad), Nominated for Best New Basic Part (Undergrad), Nominated for Best Part Collection (Undergrad)"
UCSF,United States of America,North America,Gold,10,9,Tuebingen,Yes,"Best Information Processing Project, Best Wiki (Undergrad), Nominated for Best Presentation (Undergrad)"
UCSF,United States of America,North America,Gold,10,9,UGA-Georgia,Yes,"Best Information Processing Project, Best Wiki (Undergrad), Nominated for Best Presentation (Undergrad)"
UESTC_Software,China,Asia,Gold,11,6,SCU_China,Yes,Nominated for best software
UFMG_Brazil,Brazil,Latin America,,15,5,Aix-Marseille,Yes,"Nominated for Best integrated human practices (overgrad), Best education and best public engagement(overgrad)"
UFSCar-Brasil,Brazil,Latin America,Gold,12,5,IISER_Pune,No,
UFSCar-Brasil,Brazil,Latin America,Gold,12,5,Stockholm,No,
UGA-Georgia,United States of America,North America,Gold,9,6,Carnegie_Mellon,Yes,Nominated for Best Measurement Project
UGA-Georgia,United States of America,North America,Gold,9,6,Columbia_NYC,Yes,Nominated for Best Measurement Project
UGA-Georgia,United States of America,North America,Gold,9,6,Genspace,Yes,Nominated for Best Measurement Project
UGA-Georgia,United States of America,North America,Gold,9,6,MIT,Yes,Nominated for Best Measurement Project
UGA-Georgia,United States of America,North America,Gold,9,6,Stony_Brook,Yes,Nominated for Best Measurement Project
UGA-Georgia,United States of America,North America,Gold,9,6,UCSF,Yes,Nominated for Best Measurement Project
UGA-Georgia,United States of America,North America,Gold,9,6,Vanderbilt,Yes,Nominated for Best Measurement Project
UGA-Georgia,United States of America,North America,Gold,9,6,William_and_Mary,Yes,Nominated for Best Measurement Project
UiOslo_Norway,Norway,Europe,Bronze,8,4,Aachen,No,
UiOslo_Norway,Norway,Europe,Bronze,8,4,Stockholm,No,
UiOslo_Norway,Norway,Europe,Bronze,8,4,Uppsala,No,
UIUC_Illinois,United States of America,North America,Silver,10,8,TU_Eindhoven,No,
UMaryland,United States of America,North America,Gold,16,7,Duke,Yes,Nominated for Best New Application Project (Undergrad)
UMaryland,United States of America,North America,Gold,16,7,Rock_Ridge_Virginia,Yes,Nominated for Best New Application Project (Undergrad)
UMaryland,United States of America,North America,Gold,16,7,Virginia,Yes,Nominated for Best New Application Project (Undergrad)
UMaryland,United States of America,North America,Gold,16,7,William_and_Mary,Yes,Nominated for Best New Application Project (Undergrad)
UNA_Honduras,Honduras,Latin America,,14,4,Tec-Monterrey,No,
UNAM-CU,Mexico,Latin America,Silver,10,5,UNA_Honduras,No,
Uniandes_Colombia,Colombia,Latin America,,13,1,Aalto-Helsinki,No,
Uniandes_Colombia,Colombia,Latin America,,13,1,Aix-Marseille,No,
Uniandes_Colombia,Colombia,Latin America,,13,1,Amoy,No,
Uniandes_Colombia,Colombia,Latin America,,13,1,ETH_Zurich,No,
Uniandes_Colombia,Colombia,Latin America,,13,1,IONIS_Paris,No,
Uniandes_Colombia,Colombia,Latin America,,13,1,UCSF,No,
UNIK_Copenhagen,Denmark,Europe,Gold,9,0,DTU-Denmark,Yes,"Nominated for Best Environment Project (Overgrad), Nominated for Best New Composite Part (Overgrad)"
UNIK_Copenhagen,Denmark,Europe,Gold,9,0,SDU-Denmark,Yes,
UNIK_Copenhagen,Denmark,Europe,Gold,9,0,Stockholm,Yes,"Nominated for Best Environment Project (Overgrad), Nominated for Best New Composite Part (Overgrad)"
UNIK_Copenhagen,Denmark,Europe,Gold,9,0,Uppsala,Yes,"Nominated for Best Environment Project (Overgrad), Nominated for Best New Composite Part (Overgrad)"
UNITN-Trento,Italy,Europe,Gold,7,4,ETH_Zurich,Yes,"Nominated for Best Energy Project, Nominated for Best Innovation in Measurement (Undergrad)"
UNITN-Trento,Italy,Europe,Gold,7,4,Kent,Yes,"Nominated for Best Energy Project, Nominated for Best Innovation in Measurement (Undergrad)"
UNITN-Trento,Italy,Europe,Gold,7,4,TU_Darmstadt,Yes,"Nominated for Best Energy Project, Nominated for Best Innovation in Measurement (Undergrad)"
uOttawa,Canada,North America,Gold,14,0,Hamilton_McMaster,No,
uOttawa,Canada,North America,Gold,14,0,Queens_Canada,No,
uOttawa,Canada,North America,Gold,14,0,Toronto,No,
uOttawa,Canada,North America,Gold,14,0,Waterloo,No,
Uppsala,Sweden,Europe,Gold,24,0,SDU-Denmark,Yes,Nominated for Best Environment Project (Overgrad)
Uppsala,Sweden,Europe,Gold,24,0,Stockholm,Yes,Nominated for Best Environment Project (Overgrad)
Uppsala,Sweden,Europe,Gold,24,0,SVCE_Chennai,Yes,Nominated for Best Environment Project (Overgrad)
USTC,China,Asia,,18,3,BIT,No,
USTC,China,Asia,,18,3,HFUT-China,No,
USTC,China,Asia,,18,3,SCU_China,No,
